beta,q,alpha_h,s_real,T,lam_max,N_half
0.0,0.04,0.01976294424259645,0.0395233155716072,3.454643963711227,0.9866599425594417,51.61248545380623
0.0,0.044,0.02173959351775037,0.04347576233386561,3.4546613577695986,0.983807927327438,42.46029409116358
0.0,0.048,0.023716344216323005,0.04742824201998004,3.4546803922565528,0.980662786349705,35.49754453095684
0.0,0.052,0.025693205566126875,0.051380757607665736,3.454701062764969,0.97721782621583,30.077075198015688
0.0,0.056,0.02767018679748469,0.05533331207173091,3.4547233645029523,0.9734653495491263,25.774213767515505
0.0,0.06,0.029647296895543344,0.05928590788825947,3.4547472922911022,0.9693965100289975,22.300916561960825
0.0,0.064,0.0316245455971664,0.06323854902688561,3.4547728405728666,0.9650011266235341,19.456211275973043
0.0,0.068,0.03360194188667576,0.0671912379428479,3.454800003398102,0.9602674626622061,17.096413460276608
0.0,0.072,0.03557949500576234,0.07114397759534492,3.4548287744330253,0.9551819398929824,15.116578496309396
0.0,0.076,0.03755721419932531,0.07509677093874298,3.45485914695741,0.9497287774876186,13.43859770655841
0.0,0.08,0.03953510871561859,0.07904962092220262,3.4548911138640728,0.9438895336834404,12.003351072783254
0.0,0.084,0.04151318780649619,0.08300253048950211,3.4549246676582976,0.9376425037737746,10.765406909585984
0.0,0.088,0.043491460677540776,0.08695550247872116,3.4549598004690223,0.9309619253638839,9.689365766543503
0.05,0.04,0.0183351412139005,0.03666822784228222,3.4370097382102878,0.99371675856221,109.9698768957255
0.05,0.044,0.02016920264151907,0.04033567041673679,3.4370321640360078,0.992396486841438,90.81442184886042
0.05,0.048,0.022003420481749966,0.04400329006035569,3.4370567118022115,0.9909501278202637,76.24483173828465
0.05,0.052,0.02383780896306524,0.04767110284653218,3.437083377726755,0.9893775883824577,64.90608776607235
0.05,0.056,0.0256723823168263,0.05133912484344856,3.4371121576966934,0.9876787656060538,55.9090201999227
0.05,0.06,0.027507154777419256,0.05500737211342727,3.4371430472681177,0.9858535466693553,48.65055115527242
0.05,0.064,0.029342140357725987,0.058675860263145745,3.437176041666098,0.9839018088912621,42.7099465463284
0.05,0.068,0.03117735375258294,0.06234460624887922,3.437211135779968,0.9818234184472265,37.786444937882465
0.05,0.072,0.03301280897667625,0.06601362565246834,3.437248324170322,0.9796182321169679,33.660434114086044
0.05,0.076,0.034848520278345126,0.06968293450728774,3.4372876010626485,0.9772860952176993,30.16852467289797
0.05,0.08,0.03668450190991435,0.07335254883815996,3.437328960348479,0.9748268415254722,27.187123058222923
0.05,0.084,0.038520768127871294,0.07702248466078308,3.4373723955844895,0.972240293974736,24.621343553999967
0.05,0.088,0.04035733314637457,0.08069275788789633,3.437417900002898,0.9695262622668177,22.39736128026359
0.1,0.04,0.01710791794157632,0.03421416685421994,3.419888620311383,0.9957884780084912,164.2367184523016
0.1,0.044,0.01881936278460689,0.03763650386725685,3.4199147712819675,0.9949048767145939,135.69442843771142
0.1,0.048,0.020530994273020603,0.04105910385346019,3.419943401271225,0.9939373941744813,113.98463496675842
0.1,0.052,0.022242829393783033,0.04448199071351768,3.4199745071243233,0.992886112428489,97.08879349272041
0.1,0.056,0.023954885139279423,0.04790518834736676,3.420008085410291,0.9917511190093427,83.68218554340915
0.1,0.06,0.025667178507732067,0.051328720654057435,3.42004413242075,0.9905325083574059,72.86626932967984
0.1,0.064,0.02737972629385534,0.05475261111224615,3.4200826441747134,0.9892303813908221,64.01414983472927
0.1,0.068,0.029092545932289233,0.05817688446547587,3.420123616399475,0.9878448456370595,56.67767911330048
0.1,0.072,0.03080565422660719,0.06160156418010901,3.420167044557397,0.9863760160807337,50.52961575147654
0.1,0.076,0.032519068202324586,0.06502667414978561,3.4202129238266012,0.9848240151219346,45.32649349209518
0.1,0.08,0.03423280489286494,0.06845223826651665,3.420261249105126,0.9831889718543126,40.88414184417946
0.1,0.084,0.03594688133991814,0.07187828042041822,3.4203120150100745,0.9814710234062355,37.061167740165835
0.1,0.088,0.0376613146040404,0.07530482451991236,3.420365215920228,0.9796703142830748,33.74756202284712
0.15,0.04,0.016040979839474404,0.03208058384558519,3.4032539935016293,0.9967864953806704,215.35144624194186
0.15,0.044,0.017645784823756307,0.03528973819812644,3.4032829196616423,0.9961124941229573,177.9544574148147
0.15,0.048,0.01925079188983047,0.03849920575422693,3.403314591256248,0.9953745423297131,149.507990279278
0.15,0.052,0.020856019438398953,0.04170901500364804,3.4033490057068922,0.9945727179115642,127.36845268296763
0.15,0.056,0.022461485878322675,0.044919194441350896,3.403386160208399,0.9937071033263631,109.80061646614283
0.15,0.06,0.02406720962715884,0.048129772567637216,3.403426051728774,0.9927777866190186,95.627350214632
0.15,0.064,0.025673209111846642,0.051340777888584835,3.40346867700906,0.9917848611623974,84.0273219550996
0.15,0.068,0.02727950257669926,0.05455223853123725,3.4035140325678492,0.9907284266724123,74.41335846775382
0.15,0.072,0.02888610885802142,0.057764183791340025,3.4035621146764683,0.9896085882601313,66.3566740566535
0.15,0.076,0.030493046218111674,0.06097664180122051,3.403612919396167,0.98842545832726,59.53825093504843
0.15,0.08,0.032100333127797795,0.06418964109338281,3.4036664425514105,0.9871791548928699,53.71675989408115
0.15,0.084,0.033707988070516635,0.06740321020785,3.403722679735809,0.9858698027909183,48.70692192213199
0.15,0.088,0.03531602952428841,0.07061737765518639,3.403781626315706,0.9844975334529491,44.36458175946618
