q,k_hip,c,alpha_p,alpha_h,s_real,T,lam_max,margin,N_half
0.13,-0.3,1.04,0.0650458580746109,0.06371159554701271,0.1273370032443968,3.208651828790619,0.8680972152726635,0.13190278472733652,4.900243762206832
0.12,-0.3,1.04,0.06003605844527842,0.0588036222631649,0.1175394778952583,3.208611643823438,0.892468375971746,0.107531624028254,6.092841037892882
0.1,-0.3,1.04,0.050020856805770016,0.048992637034099604,0.09794608011480654,3.2085392455480584,0.9296230389283693,0.07037696107163072,9.498275331441146
0.08,-0.3,1.04,0.040010674353988925,0.03918731794745363,0.07835457815382711,3.208478425822752,0.9566374751148614,0.04336252488513859,15.635801743308244
0.06,-0.3,1.04,0.030004501823476935,0.029386528230798507,0.05876459773796292,3.208430136797513,0.976216620290085,0.023783379709914954,28.796219458697493
0.058,-0.3,1.04,0.029004066372440036,0.02840665462137961,0.056805668747760184,3.2084260273785126,0.977819925227531,0.022180074772468972,30.903025500617925
0.056,-0.3,1.04,0.02800365995804695,0.02742681389344676,0.05484675095370808,3.208422051455519,0.9793625334865914,0.020637466513408587,33.23905678008086
0.054,-0.3,1.04,0.027003281576635237,0.026447004849032712,0.05288784384683894,3.208418209629308,0.9808452052277449,0.019154794772255124,35.83892408780194
0.052,-0.3,1.04,0.02600293022479526,0.025467226355174517,0.05092894704757953,3.2084145024797013,0.9822686509798935,0.017731349020106535,38.74401429668679
0.05,-0.3,1.04,0.02500260489936114,0.024487477279115814,0.048970060176231595,3.2084109305654773,0.9836335369700702,0.016366463029929834,42.00415173668075
0.048,-0.3,1.04,0.024002304597401634,0.023507756488215778,0.04701118285280983,3.2084074944243253,0.9849404912160634,0.015059508783936582,45.679760407726974
0.046,-0.3,1.04,0.023002028316211114,0.022528062850005477,0.04505231469717457,3.2084041945728363,0.9861900992605082,0.013809900739491843,49.84466969687705
0.044,-0.3,1.04,0.022001775053300456,0.021548395232137096,0.04309345532895024,3.208401031506371,0.9873829108526047,0.012617089147395344,54.58986370972954
0.042,-0.3,1.04,0.021001543806388006,0.020568752502394507,0.04113460436756646,3.208398005699159,0.988519440560542,0.011480559439458027,60.02849148722036
0.04,-0.3,1.04,0.02000133357339049,0.01958913352868306,0.03917576143225764,3.2083951176043137,0.9896001708433837,0.010399829156616303,66.30268478300177
0.038,-0.3,1.04,0.019001143352414006,0.01860953717906168,0.03721692614214708,3.2083923676538997,0.9906255531685882,0.009374446831411754,73.59294443435353
0.036,-0.3,1.04,0.018000972141744936,0.017629962897912514,0.035258099268427184,3.208389756260444,0.9915960060329785,0.008403993967021517,82.13124427389803
0.034,-0.3,1.04,0.01700081893984093,0.01665040841192852,0.03329927814708728,3.2083872838100653,0.9925119210067858,0.007488078993214242,92.2197481855973
0.032,-0.3,1.04,0.01600068274532185,0.015670873156314113,0.03134046353021052,3.2083849506735596,0.9933736665654669,0.006626333434533116,104.25797773921352
0.03,-0.3,1.04,0.015000562556960754,0.014691355999872207,0.029381655036934844,3.2083827571981898,0.9941815774966178,0.005818422503382159,118.7828328701484
0.028,-0.3,1.04,0.01400045737367484,0.013711855811654768,0.027422852286577797,3.2083807037107723,0.9949359669548006,0.005064033045199423,136.52964529101843
0.026,-0.3,1.04,0.013000366194516442,0.012732371460929438,0.025464054898589734,3.2083787905164116,0.9956371258616185,0.004362874138381545,158.5271542973349
0.024,-0.3,1.04,0.012000288018664,0.011752901817343484,0.023505262492901625,3.2083770178995312,0.9962853182110967,0.003714681788903329,186.24986223181335
0.022,-0.3,1.04,0.011000221845413027,0.01077344575098775,0.02154647469007288,3.20837538612332,0.9968807881904849,0.003119211809515132,221.8719418597903
0.02,-0.3,1.04,0.010000166674167114,0.00979400213261738,0.019587691111752726,3.2083738954299292,0.9974237565455089,0.002576243454491145,268.70672394922394
0.018,-0.3,1.04,0.009000121504428887,0.008814569834092179,0.017628911381580833,3.2083725460405286,0.9979144231470034,0.0020855768529965957,332.006045330068
0.016,-0.3,1.04,0.008000085335791027,0.007835147728985003,0.015670135126424005,3.2083713381552887,0.9983529678451137,0.0016470321548862632,420.4995050256407
0.014,-0.3,1.04,0.007000057167927228,0.006855734694034237,0.01371136197930104,3.208370271952713,0.9987395496641559,0.0012604503358440988,549.5736168541472
0.012,-0.3,1.04,0.0060000360005832126,0.005876334622080044,0.011752601605102133,3.2083693475964976,0.9990743054729079,0.0009256945270921246,748.4394576043902
0.01,-0.3,1.04,0.005000020833567712,0.00489693715633147,0.009793835169869458,3.208368565211521,0.9993573594437435,0.000642640556256513,1078.245728045514
0.13,-0.2,1.04,0.0650458580746109,0.06411756197420927,0.12814727825506275,3.379554313017943,0.8362066410805922,0.16379335891940783,3.8749387736762797
0.12,-0.2,1.04,0.06003605844527842,0.05917826477712298,0.11828745956657596,3.3794574181532853,0.8686764853260511,0.13132351467394887,4.923462075950868
0.1,-0.2,1.04,0.050020856805770016,0.04930469884202763,0.09856945006599374,3.3792850489934594,0.9153197394204637,0.08468026057953626,7.833779646702203
0.08,-0.2,1.04,0.040010674353988925,0.03943687566833628,0.07885330796724312,3.379142282212169,0.9481779946242341,0.05182200537576587,13.025890432840983
0.06,-0.2,1.04,0.030004501823476935,0.02957364306070444,0.059138664792101,3.379030161894161,0.9716816513789944,0.028318348621005573,24.12873041606751
0.058,-0.2,1.04,0.029004066372440036,0.028587527935834637,0.05716726850175435,3.3790206686309063,0.9735977411869465,0.02640225881305347,25.905209637431295
0.056,-0.2,1.04,0.02800365995804695,0.027601446135932274,0.05519588324519143,3.3790114908093343,0.9754402180240934,0.02455978197590658,27.874845696354516
0.054,-0.2,1.04,0.027003281576635237,0.026615396447260034,0.05322450851822666,3.3790026290881987,0.9772101339501921,0.022789866049807928,30.066805396992294
0.052,-0.2,1.04,0.02600293022479526,0.025629377721553832,0.05125314394699113,3.37899408410306,0.978908483946277,0.021091516053722947,32.51598633558676
0.05,-0.2,1.04,0.02500260489936114,0.024643388810734967,0.04928178915743459,3.3789858564663864,0.9805361770159651,0.01946382298403493,35.264368968447975
0.048,-0.2,1.04,0.024002304597401634,0.02365742856685692,0.04731044377523959,3.378977946767462,0.982094082014316,0.017905917985683972,38.36289070833887
0.046,-0.2,1.04,0.023002028316211114,0.02267149584215756,0.04533910742594636,3.3789703555724215,0.983582998694411,0.016417001305588985,41.87377290038642
0.044,-0.2,1.04,0.022001775053300456,0.02168558948896321,0.04336777973478154,3.3789630834242192,0.985003681078492,0.01499631892150799,45.873708581573744
0.042,-0.2,1.04,0.021001543806388006,0.020699708359787173,0.04139646032687566,3.3789561308426337,0.9863568291039867,0.013643170896013301,50.458064145061215
0.04,-0.2,1.04,0.02000133357339049,0.019713851307255198,0.039425148827134576,3.378949498324242,0.9876430932407865,0.012356906759213526,55.74661536395706
0.038,-0.2,1.04,0.019001143352414006,0.018728017184081625,0.03745384486021228,3.378943186342422,0.9888630901333201,0.011136909866679923,61.89151438763462
0.036,-0.2,1.04,0.018000972141744936,0.017742205423078368,0.03548254921036678,3.3789371953506957,0.9900173836380366,0.009982616361963403,69.08826897521185
0.034,-0.2,1.04,0.01700081893984093,0.016756413728408522,0.03351125920473457,3.3789315257698163,0.9911065048010743,0.008893495198925683,77.59157962864764
0.032,-0.2,1.04,0.01600068274532185,0.015770641523560638,0.031539975608153734,3.3789261780070325,0.992130940699572,0.007869059300428027,87.73810885942795
0.03,-0.2,1.04,0.015000562556960754,0.014784887662090738,0.029568698045450065,3.3789211524432923,0.9930911479089514,0.006908852091048634,99.9804278763916
0.028,-0.2,1.04,0.01400045737367484,0.013799150997738086,0.027597426141489113,3.3789164494362,0.9939875452985061,0.006012454701493919,114.93830098898577
0.026,-0.2,1.04,0.013000366194516442,0.01281343038457812,0.025626159521502462,3.378912069320752,0.9948205188278827,0.005179481172117306,133.47872742159865
