s,v,amp,on_constraint,lam_max,N_half_linear,lam_fitted,N_half_fitted,prefactor_A,final_ratio,steps,fell
0.402,0.11614140756649026,0.001,1,0.7072954792849143,2.001540967922658,0.7188115298494046,2.0994529999508083,1.9051811745597222,5.579285252267595e-06,40,0
0.402,0.11614140756649026,0.001,0,0.7072954792849143,2.001540967922658,0.7171220381241089,2.0845952054575,2.0811064484279322,5.5498501163421775e-06,40,0
0.402,0.11614140756649026,0.003,1,0.7072954792849143,2.001540967922658,0.7198249766310518,2.108450545485496,1.8740398491276564,5.807472411405693e-06,40,0
0.402,0.11614140756649026,0.003,0,0.7072954792849143,2.001540967922658,0.7181195880709983,2.093346596861399,2.0484290604047595,5.773283500543029e-06,40,0
0.402,0.11614140756649026,0.01,1,0.7072954792849143,2.001540967922658,0.715204529713187,2.0679434350655583,2.8637752254903144,6.8743879311363885e-06,40,0
0.402,0.11614140756649026,0.01,0,0.7072954792849143,2.001540967922658,0.71403055821318,2.057857585464212,3.0257699925172052,6.813019518318822e-06,40,0
0.402,0.11614140756649026,0.05,1,0.7072954792849143,2.001540967922658,nan,nan,nan,,3,1
0.402,0.11614140756649026,0.05,0,0.7072954792849143,2.001540967922658,nan,nan,nan,,3,1
0.08,0.023155577806399045,0.001,1,0.9438895600199129,12.003356872625668,0.9438927486022999,12.004059105423133,9.256069402605887,0.0016026419556270303,150,0
0.08,0.023155577806399045,0.001,0,0.9438895600199129,12.003356872625668,0.9438927483231818,12.00405904394848,9.256312743594213,0.0016026840095787614,150,0
0.08,0.023155577806399045,0.003,1,0.9438895600199129,12.003356872625668,0.943892958713287,12.004105381712563,9.557074432428724,0.0016547467503967973,150,0
0.08,0.023155577806399045,0.003,0,0.9438895600199129,12.003356872625668,0.9438929587441269,12.004105388504977,9.557318407307674,0.0016547890006881763,150,0
0.08,0.023155577806399045,0.01,1,0.9438895600199129,12.003356872625668,0.9438997279144837,12.005596462583927,10.803215979507991,0.0018723799221655449,150,0
0.08,0.023155577806399045,0.01,0,0.9438895600199129,12.003356872625668,0.9438997281387769,12.005596511995895,10.80345917163189,0.0018724221341133585,150,0
0.08,0.023155577806399045,0.05,1,0.9438895600199129,12.003356872625668,0.9441060516566904,12.05121749288567,45.8145040528882,0.008189615766809648,150,0
0.08,0.023155577806399045,0.05,0,0.9438895600199129,12.003356872625668,0.9441060467472286,12.051216403329944,45.81349115049719,0.008189428681742253,150,0
0.01,0.0028947195087818027,0.001,1,0.9991773428539819,842.2245324985514,0.9991799406979532,844.8936913137825,7.501882402099132,1.4539744215857435,2000,0
0.01,0.0028947195087818027,0.001,0,0.9991773428539819,842.2245324985514,0.999179940697889,844.8936912475268,7.501882445230545,1.4539744297425334,2000,0
0.01,0.0028947195087818027,0.003,1,0.9991773428539819,842.2245324985514,0.9991847395111465,849.8689730105269,7.633904786238579,1.4936269813017053,2000,0
0.01,0.0028947195087818027,0.003,0,0.9991773428539819,842.2245324985514,0.9991847395111949,849.8689730610082,7.633904827337593,1.4936269895049614,2000,0
0.01,0.0028947195087818027,0.01,1,0.9991773428539819,842.2245324985514,0.9992040457292476,870.4913242895294,8.129548259688598,1.6523927465763093,2000,0
0.01,0.0028947195087818027,0.01,0,0.9991773428539819,842.2245324985514,0.9992040457293612,870.4913244137905,8.129548296013654,1.6523927543287706,2000,0
0.01,0.0028947195087818027,0.05,1,0.9991773428539819,842.2245324985514,0.9994674000743019,1301.0940213592044,12.427868586174265,4.260396229836903,2000,0
0.01,0.0028947195087818027,0.05,0,0.9991773428539819,842.2245324985514,0.9994674000735074,1301.0940194178543,12.427868564941571,4.260396215806327,2000,0
