gait,s,n,dev_signed,envelope
plateau,0.402,0,1.0000000000e+00,1.0000000000e+00
plateau,0.402,1,4.3443970820e-01,7.0729547982e-01
plateau,0.402,2,-1.1914239254e-01,5.0026689578e-01
plateau,0.402,3,-3.1817485808e-01,3.5383651409e-01
plateau,0.402,4,-2.2045075282e-01,2.5026696701e-01
plateau,0.402,5,-3.5651654045e-02,1.7701269452e-01
plateau,0.402,6,7.9180591630e-02,1.2520027870e-01
plateau,0.402,7,8.7774255440e-02,8.8553591200e-02
plateau,0.402,8,3.7627969835e-02,6.2633554778e-02
plateau,0.402,9,-1.0778278576e-02,4.4300430180e-02
plateau,0.402,10,-2.8285232753e-02,3.1333494021e-02
plateau,0.402,11,-1.9519350338e-02,2.2162038688e-02
plateau,0.402,12,-3.0470221651e-03,1.5675109788e-02
plateau,0.402,13,7.0835480915e-03,1.1086934299e-02
plateau,0.402,14,7.7648282280e-03,7.8417385145e-03
plateau,0.402,15,3.2947958413e-03,5.5464262052e-03
plateau,0.402,16,-9.8260208132e-04,3.9229621841e-03
plateau,0.402,17,-2.5134713165e-03,2.7746934204e-03
plateau,0.402,18,-1.7222131340e-03,1.9625281141e-03
plateau,0.402,19,-2.5950449239e-04,1.3880872641e-03
plateau,0.402,20,6.3302155707e-04,9.8178784753e-04
plateau,0.402,21,6.8737813669e-04,6.9441410671e-04
plateau,0.402,22,2.8873611567e-04,4.9115595880e-04
plateau,0.402,23,-8.9563909226e-05,3.4739238955e-04
plateau,0.402,24,-2.2332862395e-04,2.4570906685e-04
plateau,0.402,25,-1.5189523862e-04,1.7378891234e-04
plateau,0.402,26,-2.2061311981e-05,1.2292011214e-04
plateau,0.402,27,5.6556976492e-05,8.6940839696e-05
plateau,0.402,28,6.0849763146e-05,6.1492862929e-05
low speed,0.080,0,1.0000000000e+00,1.0000000000e+00
low speed,0.080,1,9.4384345116e-01,9.4388956502e-01
low speed,0.080,2,8.9075022654e-01,8.9092751096e-01
low speed,0.080,3,8.4060630063e-01,8.4093718078e-01
low speed,0.080,4,7.9326937131e-01,7.9375182978e-01
low speed,0.080,5,7.4859364884e-01,7.4921406934e-01
low speed,0.080,6,7.0643531332e-01,7.0717534202e-01
low speed,0.080,7,6.6665529372e-01,6.6749542597e-01
low speed,0.080,8,6.2912058406e-01,6.3004196728e-01
low speed,0.080,9,5.9370476585e-01,5.9469003844e-01
low speed,0.080,10,5.6028810532e-01,5.6132172170e-01
low speed,0.080,11,5.2875742773e-01,5.2982571573e-01
low speed,0.080,12,4.9900587961e-01,5.0009696436e-01
low speed,0.080,13,4.7093263958e-01,4.7203630616e-01
low speed,0.080,14,4.4444261017e-01,4.4555014370e-01
low speed,0.080,15,4.1944610823e-01,4.2055013133e-01
low speed,0.080,16,3.9585856302e-01,3.9695288053e-01
low speed,0.080,17,3.7360022626e-01,3.7467968174e-01
low speed,0.080,18,3.5259589624e-01,3.5365624182e-01
low speed,0.080,19,3.3277465658e-01,3.3381243625e-01
low speed,0.080,20,3.1406962954e-01,3.1508207526e-01
low speed,0.080,21,2.9641774339e-01,2.9740268296e-01
low speed,0.080,22,2.7975951328e-01,2.8071528905e-01
low speed,0.080,23,2.6403883489e-01,2.6496423208e-01
low speed,0.080,24,2.4920279014e-01,2.5009697376e-01
low speed,0.080,25,2.3520146426e-01,2.3606392378e-01
low speed,0.080,26,2.2198777357e-01,2.2281827433e-01
low speed,0.080,27,2.0951730332e-01,2.1031584404e-01
low speed,0.080,28,1.9774815496e-01,1.9851493055e-01
low speed,0.080,29,1.8664080235e-01,1.8737617144e-01
low speed,0.080,30,1.7615795629e-01,1.7686241296e-01
low speed,0.080,31,1.6626443687e-01,1.6693858604e-01
low speed,0.080,32,1.5692705332e-01,1.5757158936e-01
low speed,0.080,33,1.4811449070e-01,1.4873017894e-01
low speed,0.080,34,1.3979720318e-01,1.4038486391e-01
low speed,0.080,35,1.3194731346e-01,1.3250780813e-01
low speed,0.080,36,1.2453851799e-01,1.2507273738e-01
low speed,0.080,37,1.1754599757e-01,1.1805485168e-01
low speed,0.080,38,1.1094633322e-01,1.1143074260e-01
low speed,0.080,39,1.0471742671e-01,1.0517831516e-01
low speed,0.080,40,9.8838425789e-02,9.9276714147e-02
