s,v,T,P,alpha,cos2alpha,lam_max,recovery_margin,N_half,lam1_re,lam1_im,lam2_re,lam2_im,eig_type,stable
0.053752,0.015559,3.454711,0.000751574103599703,0.0268792365613926,0.998555361248,0.97561275,0.02438725,28.0745,0.97561275,0,0.53484438,0,real,1
0.054502,0.015776,3.454715,0.000772704267815725,0.0272543739702762,0.998514765998,0.97490702,0.02509298,27.2751,0.97490702,0,0.53522133,0,real,1
0.054877,0.015885,3.454717,0.000783379362240231,0.0274419441100778,0.9984942574355,0.97455003,0.02544997,26.8876,0.97455003,0,0.53541223,0,real,1
0.055253,0.015993,3.454719,0.000794156562777446,0.0276300154065164,0.9984735529955,0.97419028,0.02580972,26.508,0.97419028,0,0.53560474,0,real,1
0.055628,0.016102,3.454721,0.000804978546928478,0.0278175874869846,0.998452762808,0.97382776,0.02617224,26.136,0.97382776,0,0.53579889,0,real,1
0.056003,0.016211,3.454723,0.000815873882715226,0.0280051605464245,0.9984318319955,0.97346247,0.02653753,25.7714,0.97346247,0,0.53599467,0,real,1
0.056378,0.016319,3.454726,0.000826842573208378,0.0281927345914511,0.998410760558,0.97309439,0.02690561,25.414,0.97309439,0,0.53619209,0,real,1
0.056753,0.016428,3.454728,0.00083788462149938,0.0283803096286796,0.9983895484955,0.97272353,0.02727647,25.0637,0.97272353,0,0.53639117,0,real,1
0.057129,0.016536,3.45473,0.000849029769869821,0.0285683858688297,0.9983681386795,0.97234986,0.02765014,24.7203,0.97234986,0,0.53659192,0,real,1
0.057504,0.016645,3.454732,0.000860218738755572,0.0287559629129992,0.998346644992,0.97197339,0.02802661,24.3835,0.97197339,0,0.53679432,0,real,1
0.057879,0.016754,3.454734,0.00087148107484654,0.0289435409692359,0.9983250106795,0.97159411,0.02840589,24.0533,0.97159411,0,0.5369984,0,real,1
0.058254,0.016862,3.454737,0.000882816781317295,0.0291311200441564,0.998303235742,0.971212,0.028788,23.7294,0.971212,0,0.53720417,0,real,1
0.058629,0.016971,3.454739,0.000894225861363182,0.0293187001443776,0.9982813201795,0.97082707,0.02917293,23.4117,0.97082707,0,0.53741163,0,real,1
0.059005,0.017079,3.454741,0.00090573903618472,0.0295067814942543,0.9982592049875,0.97043929,0.02956071,23.0999,0.97043929,0,0.53762079,0,real,1
0.05938,0.017188,3.454743,0.000917295068734432,0.0296943636677068,0.9982370078,0.97004866,0.02995134,22.7941,0.97004866,0,0.53783167,0,real,1
0.059755,0.017296,3.454746,0.000928924484578693,0.02988194688633,0.9982146699875,0.96965518,0.0303448200000001,22.494,0.96965518,0,0.53804426,0,real,1
0.06013,0.017405,3.454748,0.000940627286996025,0.0300695311567421,0.99819219155,0.96925883,0.03074117,22.1995,0.96925883,0,0.53825858,0,real,1
0.060505,0.017514,3.45475,0.000952403479285737,0.0302571164855617,0.9981695724875,0.9688596,0.0311404,21.9104,0.9688596,0,0.53847464,0,real,1
0.06088,0.017622,3.454753,0.000964253064767929,0.0304447028794074,0.9981468128,0.9684575,0.0315425,21.6266,0.9684575,0,0.53869244,0,real,1
0.061256,0.017731,3.454755,0.000976207939528209,0.0306327905795785,0.998123851232,0.9680525,0.0319475,21.348,0.9680525,0,0.538912,0,real,1
0.061631,0.017839,3.454758,0.000988204517176404,0.0308203791262188,0.9981008099195,0.96764459,0.03235541,21.0744,0.96764459,0,0.53913333,0,real,1
0.062006,0.017948,3.45476,0.0010002744981112,0.0310079687577615,0.998077627982,0.96723378,0.03276622,20.8058,0.96723378,0,0.53935643,0,real,1
0.062381,0.018057,3.454762,0.00101241788573593,0.0311955594808269,0.9980543054195,0.96682004,0.03317996,20.542,0.96682004,0,0.53958131,0,real,1
0.062756,0.018165,3.454765,0.00102463468347476,0.0313831513020353,0.998030842232,0.96640337,0.03359663,20.2829,0.96640337,0,0.53980798,0,real,1
