k_hip,file,n_stable,SL_min,SL_max,SF_min,SF_max,SF_mean,SF_cv_pct,T_mean,lam_max_min,lam_max_max,N_half_min,N_half_max,n_SL_below_0p1,highlighted
-0.3,floquet_b0_k-0.300.csv,1837,0.10928,0.8,0.311547,0.312927,0.311792,0.110145,3.20727,0.67092,0.913916,1.7368,7.7002,0,0
-0.2,floquet_b0_k-0.200.csv,1953,0.067259,0.8,0.29538,0.296016,0.295627,0.0645267,3.38264,0.652865,0.964091,1.6256,18.9539,87,0
-0.16,floquet_b0_k-0.160.csv,1989,0.053752,0.8,0.288614,0.28946,0.288966,0.0989956,3.46062,0.645289,0.975613,1.5823,28.0745,123,1
-0.12,floquet_b0_k-0.120.csv,2103,0.041663,0.8,0.281658,0.282864,0.28221,0.155753,3.54347,0.637538,0.984277,1.5398,43.7367,237,0
-0.08,floquet_b0_k-0.080.csv,2242,0.030601,0.8,0.274497,0.276146,0.275348,0.223324,3.63178,0.632831,0.990821,1.5149,75.165,376,0
-0.04,floquet_b0_k-0.040.csv,2231,0.020341,0.747474,0.267126,0.2693,0.268442,0.282758,3.72523,0.639337,0.997511,1.5495,278.091,505,0
0,floquet_b0_k+0.000.csv,2205,0.010641,0.692321,0.259756,0.262322,0.261462,0.323466,3.82469,0.643502,0.998667,1.5724,519.6,626,0
0.05,floquet_b0_k+0.050.csv,2046,0.01,0.629665,0.25057,0.253402,0.252533,0.355156,3.95993,0.646491,0.999078,1.5891,751.746,634,0
0.1,floquet_b0_k+0.100.csv,1841,0.013928,0.571136,0.241341,0.244255,0.243388,0.371079,4.10872,0.647403,0.997198,1.5942,247.023,585,0
ALL,(union of 9 families),18447,0.01,0.8,0.241341,0.312927,0.27516,7.17744,nan,nan,nan,nan,nan,3173,0
