q,alpha_p,P,alpha_h,s_real,T,v_nom,v_real,lam_max,margin,N_half,eig_type
0.01,0.005000020833567712,2.600043334200019e-05,0.0049403782387581275,0.009880716283739545,3.45456614005699,0.0028947195087817975,0.0028601902187278846,0.9991773426929651,0.0008226573070349019,842.2243675840969,real
0.011,0.005500027729544136,3.1460634458687255e-05,0.005434421268023737,0.010868789037990654,3.4545672315236153,0.0031841904536182722,0.0031462085724691608,0.999004409660895,0.0009955903391050125,695.8706314707575,real
0.012,0.0060000360005832126,3.744089858587933e-05,0.005928465901277722,0.011856862347324306,3.454568426876756,0.0034736611110780897,0.0034322268029422097,0.9988149338143135,0.0011850661856864786,584.5550190494955,real
0.013,0.006500045771703573,4.3941237685167194e-05,0.006422512277254836,0.012844936248008249,3.4545697260980788,0.0037631314550664583,0.0037182448948617827,0.998608894892829,0.0013911051071709979,497.9242365225066,real
0.014,0.007000057167927228,5.0961664758592054e-05,0.00691656053670037,0.013833010780323556,3.454571129170009,0.004052601459493938,0.004004262834109615,0.9983862716226601,0.0016137283773398625,429.1848393487659,real
0.015,0.0075000703142798445,5.85021938487235e-05,0.007410610821106069,0.014821085986035841,3.4545726360718,0.004342071098281067,0.004290280607006985,0.998147041060492,0.001852958939507987,373.72916401661627,real
0.016,0.008000085335791027,6.656284003874385e-05,0.007904663272732974,0.015809161908440294,3.4545742467818816,0.004631540345356551,0.004576298200325949,0.9978911782677755,0.002108821732224486,328.3426241833581,real
0.017,0.0085001023574946,7.514361945253858e-05,0.008398718034223962,0.016797238591586112,3.4545759612774445,0.004921009174658208,0.004862315601065774,0.9976186548651995,0.0023813451348004833,290.72708997965606,real
0.018,0.009000121504428887,8.424454925479306e-05,0.00889277524861878,0.017785316080305928,3.4545777795331976,0.00521047756013537,0.005148332796463822,0.9973294424465287,0.002670557553471342,259.2047576119037,real
0.019,0.009500142901637003,9.386564765109585e-05,0.009386835059191303,0.018773394419889664,3.4545797015233286,0.005499945475746811,0.0054343497738990835,0.9970235104425365,0.0029764895574635464,232.5273050748161,real
