s,v,amp_pct,step,deviation_norm,deviation_normalized
0.080,0.0232,0.1,1,1.954720e-04,4.944264e+00
0.080,0.0232,0.1,2,3.025849e-04,7.653573e+00
0.080,0.0232,0.1,3,3.501819e-04,8.857491e+00
0.080,0.0232,0.1,4,3.661038e-04,9.260221e+00
0.080,0.0232,0.1,5,3.652729e-04,9.239204e+00
0.080,0.0232,0.1,6,3.557611e-04,8.998613e+00
0.080,0.0232,0.1,7,3.419601e-04,8.649530e+00
0.080,0.0232,0.1,8,3.262598e-04,8.252407e+00
0.080,0.0232,0.1,9,3.099536e-04,7.839958e+00
0.080,0.0232,0.1,10,2.937322e-04,7.429653e+00
0.080,0.0232,0.1,11,2.779548e-04,7.030581e+00
0.080,0.0232,0.1,12,2.627986e-04,6.647222e+00
0.080,0.0232,0.1,13,2.483414e-04,6.281540e+00
0.080,0.0232,0.1,14,2.346066e-04,5.934133e+00
0.080,0.0232,0.1,15,2.215890e-04,5.604867e+00
0.080,0.0232,0.1,16,2.092684e-04,5.293230e+00
0.080,0.0232,0.1,17,1.976172e-04,4.998525e+00
0.080,0.0232,0.1,18,1.866045e-04,4.719970e+00
0.080,0.0232,0.1,19,1.761986e-04,4.456762e+00
0.080,0.0232,0.1,20,1.663679e-04,4.208105e+00
0.080,0.0232,0.1,21,1.570818e-04,3.973223e+00
0.080,0.0232,0.1,22,1.483110e-04,3.751374e+00
0.080,0.0232,0.1,23,1.400273e-04,3.541848e+00
0.080,0.0232,0.1,24,1.322042e-04,3.343969e+00
0.080,0.0232,0.1,25,1.248162e-04,3.157099e+00
0.080,0.0232,0.1,26,1.178395e-04,2.980630e+00
0.080,0.0232,0.1,27,1.112513e-04,2.813989e+00
0.080,0.0232,0.1,28,1.050302e-04,2.656632e+00
0.080,0.0232,0.1,29,9.915586e-05,2.508046e+00
0.080,0.0232,0.1,30,9.360904e-05,2.367745e+00
0.080,0.0232,0.1,31,8.837163e-05,2.235270e+00
0.080,0.0232,0.1,32,8.342645e-05,2.110186e+00
0.080,0.0232,0.1,33,7.875729e-05,1.992085e+00
0.080,0.0232,0.1,34,7.434882e-05,1.880577e+00
0.080,0.0232,0.1,35,7.018656e-05,1.775297e+00
0.080,0.0232,0.1,36,6.625681e-05,1.675898e+00
0.080,0.0232,0.1,37,6.254664e-05,1.582053e+00
0.080,0.0232,0.1,38,5.904383e-05,1.493453e+00
0.080,0.0232,0.1,39,5.573684e-05,1.409806e+00
0.080,0.0232,0.1,40,5.261475e-05,1.330836e+00
0.080,0.0232,0.1,41,4.966726e-05,1.256282e+00
0.080,0.0232,0.1,42,4.688464e-05,1.185899e+00
0.080,0.0232,0.1,43,4.425769e-05,1.119453e+00
0.080,0.0232,0.1,44,4.177774e-05,1.056725e+00
0.080,0.0232,0.1,45,3.943656e-05,9.975074e-01
0.080,0.0232,0.1,46,3.722643e-05,9.416043e-01
0.080,0.0232,0.1,47,3.514002e-05,8.888306e-01
0.080,0.0232,0.1,48,3.317041e-05,8.390116e-01
0.080,0.0232,0.1,49,3.131110e-05,7.919820e-01
0.080,0.0232,0.1,50,2.955590e-05,7.475861e-01
0.080,0.0232,0.1,51,2.789900e-05,7.056767e-01
0.080,0.0232,0.1,52,2.633491e-05,6.661146e-01
0.080,0.0232,0.1,53,2.485844e-05,6.287688e-01
0.080,0.0232,0.1,54,2.346468e-05,5.935151e-01
0.080,0.0232,0.1,55,2.214902e-05,5.602366e-01
0.080,0.0232,0.1,56,2.090707e-05,5.288228e-01
0.080,0.0232,0.1,57,1.973471e-05,4.991693e-01
0.080,0.0232,0.1,58,1.862806e-05,4.711777e-01
0.080,0.0232,0.1,59,1.758343e-05,4.447547e-01
0.080,0.0232,0.1,60,1.659734e-05,4.198128e-01
0.080,0.0232,0.3,1,6.188124e-04,5.217408e+00
0.080,0.0232,0.3,2,9.352463e-04,7.885365e+00
0.080,0.0232,0.3,3,1.070227e-03,9.023431e+00
0.080,0.0232,0.3,4,1.112886e-03,9.383102e+00
0.080,0.0232,0.3,5,1.107776e-03,9.340019e+00
0.080,0.0232,0.3,6,1.078164e-03,9.090348e+00
0.080,0.0232,0.3,7,1.036497e-03,8.739042e+00
