SL_target,SF_target,converged,status,P,k_hip,T,SL_actual,SF_actual,SL_err,SF_err,lam_max,recovery_margin,N_half,eig_type,n_seed_tried
0.050000,0.240000,1,converged,0.000644924,0.122697,4.16669,0.0499995,0.239998,-5.36e-07,-1.54e-06,0.95682,0.0431796,15.7035,real,1
0.120000,0.240000,1,converged,0.00372171,0.121991,4.16669,0.119998,0.239999,-1.58e-06,-1.07e-06,0.673845,0.326155,1.75589,complex,1
0.190000,0.240000,1,converged,0.00936221,0.120731,4.16668,0.189998,0.239999,-2.17e-06,-5.64e-07,0.672572,0.327428,1.74752,complex,1
0.260000,0.240000,1,converged,0.0176195,0.11896,4.16667,0.259997,0.24,-2.89e-06,-1.06e-07,0.670514,0.329486,1.73412,complex,1
0.330000,0.240000,1,converged,0.0285729,0.116745,4.16667,0.329996,0.24,-3.79e-06,-2.97e-08,0.667445,0.332555,1.71444,complex,1
0.400000,0.240000,1,converged,0.0423299,0.11417,4.16668,0.399995,0.239999,-5e-06,-6.42e-07,0.663086,0.336914,1.68711,complex,1
0.470000,0.240000,1,converged,0.05903,0.111338,4.16671,0.469993,0.239998,-6.74e-06,-2.27e-06,0.657115,0.342885,1.65076,complex,1
0.540000,0.240000,1,converged,0.0788495,0.10837,4.16676,0.539991,0.239995,-9.3e-06,-5.15e-06,0.649172,0.350828,1.60429,complex,1
0.610000,0.240000,1,converged,0.102012,0.105357,4.16667,0.61,0.24,-1.65e-07,-2.79e-07,1.61033,-0.610331,-1.45485,real,3
0.680000,0.240000,1,converged,0.128781,0.102521,4.16667,0.68,0.24,-3.31e-07,-4.28e-07,2.47313,-1.47313,-0.765498,real,4
0.750000,0.240000,1,converged,0.159491,0.100003,4.16667,0.75,0.24,-3.25e-07,-4.08e-07,3.3452,-2.3452,-0.574022,real,4
0.050000,0.247000,1,converged,0.000647446,0.0850167,4.04864,0.0499999,0.246997,-1.21e-07,-3.34e-06,0.961604,0.0383956,17.7039,real,1
0.120000,0.247000,1,converged,0.00373627,0.0843616,4.04863,0.119999,0.246997,-5.48e-07,-2.58e-06,0.681052,0.318948,1.80452,complex,1
0.190000,0.247000,1,converged,0.00939883,0.0831964,4.04861,0.189999,0.246998,-9.56e-07,-1.93e-06,0.679618,0.320382,1.79468,complex,1
0.260000,0.247000,1,converged,0.0176885,0.0815638,4.0486,0.259999,0.246999,-1.2e-06,-1.06e-06,0.677344,0.322656,1.77924,complex,1
0.330000,0.247000,1,converged,0.0286849,0.0795299,4.04859,0.329999,0.247,-1.42e-06,-3e-07,0.674025,0.325975,1.75708,complex,1
0.400000,0.247000,1,converged,0.0424961,0.0771803,4.04858,0.399998,0.247,-1.91e-06,7.99e-09,0.669405,0.330595,1.72697,complex,1
0.470000,0.247000,1,converged,0.0592624,0.0746185,4.04859,0.469997,0.247,-2.61e-06,-3.08e-07,0.663189,0.336811,1.68774,complex,1
0.540000,0.247000,1,converged,0.0791608,0.0719666,4.04861,0.539996,0.246999,-3.77e-06,-1.44e-06,0.65505,0.34495,1.63848,complex,1
0.610000,0.247000,1,converged,0.102411,0.069364,4.04864,0.609994,0.246997,-5.56e-06,-3.48e-06,1.01723,-0.01723,-40.5748,real,1
0.680000,0.247000,1,converged,0.129285,0.0669662,4.04869,0.679992,0.246994,-8.22e-06,-6.32e-06,1.87324,-0.873235,-1.10432,real,1
0.750000,0.247000,1,converged,0.160115,0.0649441,4.04874,0.749988,0.24699,-1.19e-05,-9.64e-06,2.64786,-1.64786,-0.711832,real,1
0.050000,0.254000,1,converged,0.00065012,0.0465969,3.93709,0.0499999,0.253995,-8.83e-08,-5.39e-06,0.965611,0.0343891,19.8074,real,1
0.120000,0.254000,1,converged,0.00375172,0.045994,3.93708,0.12,0.253996,-2.57e-07,-4.48e-06,0.688091,0.311909,1.85416,complex,1
0.190000,0.254000,1,converged,0.00943772,0.0449245,3.93706,0.19,0.253996,-3.5e-07,-3.55e-06,0.68653,0.31347,1.84296,complex,1
0.260000,0.254000,1,converged,0.0177618,0.0434323,3.93705,0.26,0.253998,-3.76e-07,-2.41e-06,0.684086,0.315914,1.82565,complex,1
0.330000,0.254000,1,converged,0.0288038,0.0415835,3.93703,0.33,0.253999,-3.54e-07,-1.29e-06,0.680572,0.319428,1.80122,complex,1
0.400000,0.254000,1,converged,0.0426726,0.0394644,3.93702,0.4,0.254,-3.31e-07,-4.69e-07,0.675755,0.324245,1.76857,complex,1
0.470000,0.254000,1,converged,0.0595091,0.0371792,3.93701,0.47,0.254,-4e-07,-2.78e-08,0.669363,0.330637,1.7267,complex,1
0.540000,0.254000,1,converged,0.0794911,0.0348512,3.93701,0.539999,0.254,-6.7e-07,-1.25e-07,0.661097,0.338903,1.67485,complex,1
0.610000,0.254000,1,converged,0.10284,0.0326212,3.93702,0.609999,0.253999,-1.27e-06,-7.92e-07,0.650641,0.349359,1.61273,complex,1
0.680000,0.254000,1,converged,0.129828,0.0306466,3.93704,0.679998,0.253998,-2.32e-06,-1.92e-06,1.32439,-0.324387,-2.46716,real,1
0.750000,0.254000,1,converged,0.16079,0.0291008,3.93706,0.749996,0.253997,-3.9e-06,-3.29e-06,2.04788,-1.04788,-0.966994,real,1
0.050000,0.261000,1,converged,0.000652972,0.00741806,3.83152,0.0500007,0.260993,7.32e-07,-6.74e-06,0.968995,0.0310052,22.0074,real,1
0.120000,0.261000,1,converged,0.00376808,0.00686886,3.8315,0.12,0.260994,-1.44e-08,-5.81e-06,0.748446,0.251554,2.39218,real,1
0.190000,0.261000,1,converged,0.00947886,0.005897,3.83149,0.19,0.260995,-3.88e-07,-4.74e-06,0.693308,0.306692,1.8924,complex,1
0.260000,0.261000,1,converged,0.0178392,0.00454864,3.83147,0.26,0.260996,-4.81e-07,-3.65e-06,0.690733,0.309267,1.87336,complex,1
0.330000,0.261000,1,converged,0.0289296,0.00288917,3.83145,0.33,0.260998,-4.72e-07,-2.49e-06,0.687071,0.312929,1.84683,complex,1
0.400000,0.261000,1,converged,0.0428592,0.00100488,3.83144,0.4,0.260999,-3.89e-07,-1.38e-06,0.682109,0.317891,1.81184,complex,1
0.470000,0.261000,1,converged,0.0597698,-0.000997888,3.83143,0.47,0.260999,-2.53e-07,-5.69e-07,0.675597,0.324403,1.76752,complex,1
0.540000,0.261000,1,converged,0.0798401,-0.00299489,3.83142,0.54,0.261,-1.13e-07,-1.08e-07,0.667261,0.332739,1.71328,complex,1
0.610000,0.261000,1,converged,0.103293,-0.00484382,3.83142,0.61,0.261,-3.1e-08,-7.99e-09,0.656811,0.343189,1.64894,complex,1
0.680000,0.261000,1,converged,0.130401,-0.00638502,3.83142,0.68,0.261,-5.98e-08,-2.17e-07,0.643947,0.356053,1.57484,complex,1
0.750000,0.261000,1,converged,0.161503,-0.00744258,3.83143,0.75,0.260999,-2.8e-07,-5.61e-07,1.51071,-0.51071,-1.68003,real,1
0.050000,0.268000,1,converged,0.00065597,-0.0325358,3.73144,0.0500011,0.267993,1.1e-06,-7.02e-06,0.971877,0.0281229,24.2988,real,1
0.120000,0.268000,1,converged,0.0037853,-0.0330301,3.73143,0.12,0.267994,-4.94e-07,-6.15e-06,0.787819,0.212181,2.90644,real,1
0.190000,0.268000,1,converged,0.00952218,-0.0339005,3.73142,0.189999,0.267995,-1.22e-06,-5.38e-06,0.699955,0.300045,1.94301,complex,1
0.260000,0.268000,1,converged,0.0179208,-0.0351027,3.7314,0.259998,0.267996,-1.73e-06,-4.39e-06,0.697279,0.302721,1.92237,complex,1
0.330000,0.268000,1,converged,0.029062,-0.03657,3.73139,0.329998,0.267997,-2.15e-06,-3.24e-06,0.693509,0.306491,1.89389,complex,1
0.400000,0.268000,1,converged,0.0430557,-0.0382145,3.73137,0.399998,0.267998,-2.37e-06,-2.16e-06,0.688446,0.311554,1.85672,complex,1
0.470000,0.268000,1,converged,0.0600442,-0.0399292,3.73136,0.469998,0.267999,-2.44e-06,-1.29e-06,0.681861,0.318139,1.81012,complex,1
0.540000,0.268000,1,converged,0.0802074,-0.0415884,3.73135,0.539998,0.267999,-2.34e-06,-6.55e-07,0.673501,0.326499,1.75363,complex,1
0.610000,0.268000,1,converged,0.103769,-0.0430483,3.73135,0.609998,0.268,-2.1e-06,-2.43e-07,0.663098,0.336902,1.68718,complex,1
