SL_target,SF_target,converged,status,P,k_hip,T,SL_actual,SF_actual,SL_err,SF_err,lam_max,recovery_margin,N_half,eig_type,n_seed_tried
0.050000,0.150000,0,max_iter,0.000634697,0.3,4.87508,0.0499934,0.205125,-6.58e-06,0.0551,0.911011,0.0889889,7.43718,real,5
0.145000,0.150000,0,max_iter,0.00526571,0.3,4.88227,0.143801,0.204823,-0.0012,0.0548,0.634919,0.365081,1.52589,complex,5
0.240000,0.150000,0,max_iter,0.014476,0.3,4.89629,0.237778,0.204236,-0.00222,0.0542,0.634627,0.365373,1.52434,complex,5
0.335000,0.150000,0,max_iter,0.0284466,0.3,4.91689,0.331945,0.20338,-0.00305,0.0534,0.633456,0.366544,1.51818,complex,5
0.430000,0.150000,0,max_iter,0.0474306,0.3,4.94362,0.426231,0.202281,-0.00377,0.0523,2.352,-1.352,-0.810447,real,5
0.525000,0.150000,0,max_iter,0.0717916,0.3,4.9758,0.52064,0.200973,-0.00436,0.051,4.60683,-3.60683,-0.453767,real,5
0.620000,0.150000,0,stalled,0.104417,0.291556,4.96893,0.621731,0.20125,0.00173,0.0513,7.20748,-6.20748,-0.350939,real,5
0.715000,0.150000,0,inner_fail,0.145545,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,real,5
0.810000,0.150000,0,inner_fail,0.19209,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,real,5
0.905000,0.150000,0,max_iter,0.231452,0.3,4.07125,0.883796,0.245625,-0.0212,0.0956,17.5004,-16.5004,-0.242171,real,5
1.000000,0.150000,0,max_iter,0.293465,0.3,4.13862,0.978947,0.241627,-0.0211,0.0916,21.4895,-20.4895,-0.22596,real,5
0.050000,0.180000,0,max_iter,0.000635592,0.3,4.87509,0.0500286,0.205125,2.86e-05,0.0251,0.910875,0.0891251,7.42527,real,5
0.145000,0.180000,0,max_iter,0.0053137,0.3,4.88234,0.144453,0.20482,-0.000547,0.0248,0.634919,0.365081,1.52589,complex,5
0.240000,0.180000,0,max_iter,0.0146265,0.3,4.89651,0.239,0.204227,-0.001,0.0242,0.634619,0.365381,1.5243,complex,5
0.335000,0.180000,0,max_iter,0.0287457,0.3,4.91733,0.333656,0.203363,-0.00134,0.0234,0.633421,0.366579,1.518,complex,5
0.430000,0.180000,0,max_iter,0.0479254,0.3,4.9443,0.428386,0.202253,-0.00161,0.0223,2.39843,-1.39843,-0.792336,real,5
0.525000,0.180000,0,max_iter,0.0725312,0.3,4.97674,0.523201,0.200935,-0.0018,0.0209,4.67547,-3.67547,-0.449415,real,5
