beta,q,alpha_h,s_real,T,lam_max,N_half
0,0.04,0.0197629442417844,0.0395233155699835,3.45464396371397,0.986659942587778,51.6124855641777
0,0.044,0.021739593517057,0.0434757623324792,3.45466135777219,0.983807927327862,42.4602940922843
0,0.048,0.0237163442157012,0.0474282420187367,3.45468039225905,0.980662786323435,35.4975444822578
0,0.052,0.0256932055655839,0.05138075760658,3.45470106276737,0.977217826029306,30.0770749489075
0,0.056,0.0276701867970014,0.0553333120707647,3.45472336450524,0.973465349230333,25.7742134536567
0,0.06,0.029647296895107,0.0592859078873872,3.45474729229337,0.969396509947771,22.3009165018411
0,0.064,0.0316245455967622,0.0632385490260776,3.45477284057507,0.965001126930538,19.456211449716
0,0.068,0.0336019418863058,0.0671912379421084,3.45480000340021,0.960267462695149,17.096413474743
0,0.072,0.0355794950054283,0.0711439775946774,3.45482877443507,0.955181939586313,15.1165783904655
0,0.076,0.0375572141990079,0.0750967709381087,3.45485914695945,0.949728777502773,13.4385977107157
0,0.08,0.0395351087153266,0.0790496209216191,3.45489111386599,0.943889533637766,12.0033510627248
0,0.084,0.0415131878062252,0.0830025304889605,3.45492466766028,0.937642504076498,10.7654069635673
0,0.088,0.043491460677283,0.086955502478206,3.45495980047102,0.930961925569034,9.68936579639082
0.05,0.04,0.0183351412144109,0.0366682278433029,3.43700973821292,0.993716758571211,109.969877053762
0.05,0.044,0.0201692026419526,0.0403356704176037,3.43703216403845,0.9923964868156,90.8144215390772
0.05,0.048,0.0220034204821493,0.0440032900611542,3.43705671180466,0.990950127891731,76.2448323431371
0.05,0.052,0.0238378089633997,0.0476711028472008,3.43708337772907,0.989377588444233,64.9060881455629
0.05,0.056,0.0256723823171452,0.0513391248440862,3.43711215769902,0.987678765680832,55.9090205413479
0.05,0.06,0.0275071547777109,0.0550073721140103,3.43714304727034,0.985853546888079,48.6505519128596
0.05,0.064,0.0293421403579901,0.0586758602636737,3.43717604166828,0.983901808794313,42.7099462870155
0.05,0.068,0.0311773537528334,0.0623446062493799,3.43721113578212,0.981823418415414,37.7864448711392
0.05,0.072,0.0330128089769005,0.0660136256529166,3.43724832417239,0.979618232135851,33.6604341455953
0.05,0.076,0.0348485202785601,0.0696829345077173,3.43728760106469,0.977286095224434,30.1685246819467
0.05,0.08,0.0366845019101073,0.0733525488385456,3.43732896035048,0.974826841722208,27.1871232734298
0.05,0.084,0.0385207681280587,0.0770224846611575,3.43737239558648,0.972240293686321,24.6213432945571
0.05,0.088,0.0403573331465539,0.0806927578882547,3.43741790000488,0.969526262182158,22.3973612170685
0.1,0.04,0.0171079179431882,0.0342141668574432,3.41988862031405,0.995788477997292,164.236718014645
0.1,0.044,0.0188193627860616,0.0376365038701657,3.41991477128457,0.994904876753134,135.694429466742
0.1,0.048,0.0205309942743173,0.0410591038560531,3.41994340127375,0.993937394281128,113.984636977953
0.1,0.052,0.022242829394926,0.0444819907158031,3.41997450712677,0.992886112468703,97.0887940435093
0.1,0.056,0.0239548851403032,0.0479051883494137,3.42000808541255,0.991751119053872,83.6821859970177
0.1,0.06,0.0256671785086614,0.0513287206559154,3.42004413242302,0.990532508343972,72.8662692257962
0.1,0.064,0.0273797262946553,0.0547526111138454,3.42008264417675,0.989230381639072,64.0141513183362
0.1,0.068,0.0290925459330697,0.0581768844670362,3.42012361640163,0.987844845645641,56.6776791535613
0.1,0.072,0.03080565422732,0.0616015641815339,3.42016704455949,0.986376016027795,50.5296155537797
0.1,0.076,0.0325190682029869,0.0650266741511095,3.42021292382865,0.984824015034482,45.3264932288919
0.1,0.08,0.0342328048934819,0.0684522382677499,3.42026124910711,0.98318897193145,40.8841420333764
0.1,0.084,0.0359468813404899,0.071878280421561,3.42031201501205,0.981471023420688,37.061167769345
0.1,0.088,0.0376613146045892,0.0753048245210092,3.42036521592221,0.979670314255286,33.7475619762402
0.15,0.04,0.016040979842181,0.0320805838509977,3.4032539935043,0.99678649541067,215.351448255557
0.15,0.044,0.017645784826102,0.0352897382028171,3.40328291966423,0.996112494337782,177.954467267802
0.15,0.048,0.0192507918918831,0.0384992057583314,3.40331459125874,0.995374542323707,149.507990084701
0.15,0.052,0.020856019440222,0.0417090150072933,3.40334900570924,0.994572717886085,127.368452083377
0.15,0.056,0.0224614858799606,0.044919194444626,3.4033861602107,0.993707103102492,109.800612547615
0.15,0.06,0.0240672096286359,0.0481297725705906,3.40342605173105,0.992777786673229,95.6273509350191
0.15,0.064,0.0256732091131278,0.0513407778911462,3.4034686770111,0.991784860936387,84.0273196338212
0.15,0.068,0.0272795025779371,0.054552238533712,3.40351403256997,0.990728426688781,74.4133585997386
0.15,0.072,0.0288861088591551,0.0577641837936065,3.40356211467857,0.989608588342489,66.3566745853232
0.15,0.076,0.0304930462191592,0.0609766418033146,3.40361291939822,0.988425458333872,59.5382509692589
0.15,0.08,0.03210033312877,0.0641896410953262,3.40366644255341,0.987179154813903,53.7167595610831
0.15,0.084,0.0337079880714278,0.0674032102096713,3.40372267973777,0.985869802816891,48.7069220123012
0.15,0.088,0.0353160295251481,0.0706173776569047,3.40378162631767,0.984497533503318,44.3645819047417
