beta,q,alpha_h_difference,s_real_difference,T_difference,lam_max_difference,N_half_difference
0,0.04,-8.12017120210839e-13,-1.6237150513021e-12,2.74491540608324e-12,2.83361112352054e-11,1.10371466632841e-07
0,0.044,-6.93375912241834e-13,-1.38642569647018e-12,2.58681964737661e-12,4.23883150801885e-13,1.12066800284083e-09
0,0.048,-6.21828977198646e-13,-1.2433110097021e-12,2.4926727348884e-12,-2.62705412978903e-11,-4.86990572312607e-08
0,0.052,-5.4302048968502e-13,-1.08568709578094e-12,2.40341080370854e-12,-1.86523574363662e-10,-2.49108232708295e-07
0,0.056,-4.83287021513235e-13,-9.66199342755658e-13,2.28661534151797e-12,-3.18793436093756e-10,-3.13858766531894e-07
0,0.06,-4.36331526465494e-13,-8.72281413766274e-13,2.27196039759292e-12,-8.1226692039138e-11,-6.01197633898209e-08
0,0.064,-4.04211386584308e-13,-8.08020317322189e-13,2.20534701611541e-12,3.07003866772959e-10,1.73742918718744e-07
0,0.068,-3.69981822956333e-13,-7.39547312278432e-13,2.1129764604666e-12,3.29433147427949e-11,1.44663729884087e-08
0,0.072,-3.33989780276767e-13,-6.67549349131491e-13,2.04725125740879e-12,-3.0666935657564e-10,-1.05843897202362e-07
0,0.076,-3.17371129376909e-13,-6.34298169543968e-13,2.04369854372999e-12,1.51539891746211e-11,4.15728607094934e-09
0,0.08,-2.91988655476416e-13,-5.83519343955174e-13,1.92068583260152e-12,-4.56744642107765e-11,-1.00584678364157e-08
0,0.084,-2.71033195886616e-13,-5.41594546987767e-13,1.98419058961008e-12,3.02722957812307e-10,5.39813207467432e-08
0,0.088,-2.57814602999673e-13,-5.15143483426073e-13,1.99618099827603e-12,2.05150230137008e-10,2.98473175064373e-08
0.05,0.04,5.1041462723056e-13,1.02065578211352e-12,2.62767585468282e-12,9.00113317214846e-12,1.58036215225366e-07
0.05,0.044,4.33552499456979e-13,8.66924587672457e-13,2.43849385128669e-12,-2.58379984074963e-11,-3.09783175111988e-07
0.05,0.048,3.99357630298525e-13,7.9852097156774e-13,2.44870790311325e-12,7.14670544965657e-11,6.04852459673566e-07
0.05,0.052,3.34419991698809e-13,6.68652633262212e-13,2.31858976462718e-12,6.17756956700077e-11,3.79490558088946e-07
0.05,0.056,3.18908094376624e-13,6.37608021936131e-13,2.32747154882418e-12,7.47778505783003e-11,3.41425199223977e-07
0.05,0.06,2.91634771887317e-13,5.83047499169709e-13,2.21911378162076e-12,2.18723261724563e-10,7.57587230282297e-07
0.05,0.064,2.64108179770517e-13,5.27987376042205e-13,2.18625118009186e-12,-9.69490043800647e-11,-2.59312940897871e-07
0.05,0.068,2.50442028226772e-13,5.00641195166907e-13,2.1529444893531e-12,-3.18122195253068e-11,-6.67432260570422e-08
0.05,0.072,2.24251173186474e-13,4.48266423980215e-13,2.06368255817324e-12,1.88834503589419e-11,3.15092805180939e-08
0.05,0.076,2.14932238673526e-13,4.29600799378704e-13,2.04503081135954e-12,6.73483491198112e-12,9.04873687090912e-09
0.05,0.08,1.92949822785948e-13,3.85635967603548e-13,1.99706917669573e-12,1.96735405744164e-10,2.1520685677956e-07
0.05,0.084,1.87370952087207e-13,3.74464348418257e-13,1.98863148170858e-12,-2.88414625515543e-10,-2.59442842320823e-07
0.05,0.088,1.79321835158675e-13,3.58352236773385e-13,1.98685512486918e-12,-8.46592795866741e-11,-6.3195077615319e-08
0.1,0.04,1.61185995106727e-12,3.22324805734908e-12,2.66364708068068e-12,-1.11991527163013e-11,-4.37656240137585e-07
0.1,0.044,1.45470441248463e-12,2.90889534682037e-12,2.60280685893122e-12,3.85399490099303e-11,1.02903027254797e-06
0.1,0.048,1.29671273718657e-12,2.59287730175473e-12,2.52686760404686e-12,1.06646358410956e-10,2.01119496523461e-06
0.1,0.052,1.14299888998026e-12,2.2854287906604e-12,2.44604336785414e-12,4.02134991972503e-11,5.50788911368727e-07
0.1,0.056,1.02375052879466e-12,2.0469181905014e-12,2.26352270260577e-12,4.45290471162707e-11,4.53608578254716e-07
0.1,0.06,9.29308713315535e-13,1.85800680396753e-12,2.27018404075352e-12,-1.34334765533595e-11,-1.038836785483e-07
0.1,0.064,7.99922628136329e-13,1.59924851139692e-12,2.03437267032314e-12,2.48250309198284e-10,1.48360696528016e-06
