beta,q,alpha_h,s_real,T,lam_max,N_half,theta_dot,phi_dot,fixed_point_residual,lam_delta1e7,N_delta1e7
0,0.04,0.0197629442417844,0.0395233155699835,3.45464396371397,0.986659942587778,51.6124855641777,-0.0210523697215557,-1.64428739217897e-05,5.91791507947918e-13,0.986660033312664,51.6128389474408
0,0.044,0.021739593517057,0.0434757623324792,3.45466135777219,0.983807927327862,42.4602940922843,-0.0231578925621852,-2.18858513992671e-05,6.81738220815082e-13,0.983808005678125,42.4605012364838
0,0.048,0.0237163442157012,0.0474282420187367,3.45468039225905,0.980662786323435,35.4975444822578,-0.0252634971364483,-2.84143367525129e-05,7.78401833473249e-13,0.980662850993737,35.4976643653153
0,0.052,0.0256932055655839,0.05138075760658,3.45470106276737,0.977217826029306,30.0770749489075,-0.0273691908905265,-3.6127088820674e-05,8.81756468488642e-13,0.977217885317034,30.077154129781
0,0.056,0.0276701867970014,0.0553333120707647,3.45472336450524,0.973465349230333,25.7742134536567,-0.0294749812752261,-4.51228863530402e-05,9.91975955143548e-13,0.973465397994785,25.7742614633609
0,0.06,0.029647296895107,0.0592859078873872,3.45474729229337,0.969396509947771,22.3009165018411,-0.0315808754824457,-5.55005285375079e-05,2.21759397481776e-13,0.969396554491169,22.3009494705917
0,0.064,0.0316245455967622,0.0632385490260776,3.45477284057507,0.965001126930538,19.456211449716,-0.0336868815071522,-6.73588410540322e-05,2.464402008288e-13,0.965001165460614,19.456233255094
0,0.068,0.0336019418863058,0.0671912379421084,3.45480000340021,0.960267462695149,17.096413474743,-0.0357930065453019,-8.07966713497673e-05,2.72466379614334e-13,0.960267498080442,17.0964290134734
0,0.072,0.0355794950054283,0.0711439775946774,3.45482877443507,0.955181939586313,15.1165783904655,-0.0378992580696964,-9.59128944307849e-05,2.99882698076902e-13,0.955181971575993,15.1165894313953
0,0.076,0.0375572141990079,0.0750967709381087,3.45485914695945,0.949728777502773,13.4385977107157,-0.0400056435594264,-0.000112806413523619,3.28775698245892e-13,0.949728813116366,13.4386074808145
