q,alpha_h,s,v,lam_max,is_complex,dlam_dq_fd,dlam_dq_pert,c_swing,c_reset,c_reset_geom,c_reset_vel,c_reset_push,norm_BA_minus_J,absEigA1,absEigA2,cos2alpha_h,dabslam_dq
0.399,0.1986603747,0.3947124618,0.1140384514,0.7075464402,1,-1.544692423,-1.544693354,0.2582346069,-1.802927961,-1.725564856,-0.804679014,0.7273162447,2.002728355e-10,5.453173261,1.000000005,0.9221010362,-0.08324072177
0.398,0.1981547064,0.393720966,0.1137528189,0.7076295359,1,-1.541292308,-1.541293228,0.2572465299,-1.798539758,-1.721496984,-0.8028401019,0.7257976635,2.123238889e-10,5.455468726,0.9999999956,0.9224919005,-0.08294943781
0.397,0.1976490974,0.3927294858,0.1134671874,0.7077123397,1,-1.537888986,-1.537889904,0.2562602273,-1.794150131,-1.717426711,-0.8009996438,0.7242765578,2.568733747e-10,5.45775654,0.999999993,0.9228817755,-0.08266240376
0.396,0.1971435477,0.3917380213,0.113181557,0.7077948613,1,-1.53448396,-1.53448487,0.2552742205,-1.789759091,-1.713354049,-0.7991576462,0.7227529377,2.117715145e-10,5.460036816,0.9999999963,0.9232706613,-0.08238052876
0.395,0.196638057,0.3907465725,0.1128959276,0.7078771013,1,-1.531074374,-1.531075281,0.2542913707,-1.785366652,-1.709279014,-0.7973141178,0.7212268126,1.302635186e-10,5.462309501,0.9999999968,0.923658558,-0.08209951407
0.394,0.1961326251,0.3897551393,0.1126102993,0.7079590609,1,-1.527656051,-1.527656955,0.2533158667,-1.780972822,-1.705201617,-0.7954690646,0.7196981918,2.70297499e-10,5.464574636,0.9999999744,0.9240454657,-0.08181936134
0.393,0.1956272519,0.3887637217,0.1123246718,0.7080407406,1,-1.524236619,-1.524237513,0.2523400928,-1.776577605,-1.701121866,-0.7936224908,0.7181670818,2.55080823e-10,5.466832189,0.9999999967,0.9244313844,-0.08153752014
0.392,0.1951219373,0.3877723197,0.1120390453,0.7081221365,1,-1.520814545,-1.520815441,0.2513655824,-1.772181023,-1.697039782,-0.791774408,0.7166334968,8.387654637e-11,5.469082229,0.9999999855,0.9248163141,-0.0812560802
0.391,0.1946166811,0.3867809332,0.1117534196,0.7082032533,1,-1.517385459,-1.517386344,0.250396726,-1.76778307,-1.692955367,-0.7899248168,0.7150974419,1.550185841e-10,5.471324786,0.9999999783,0.9252002549,-0.08097894065
0.39,0.1941114831,0.3857895622,0.1114677948,0.708284095,1,-1.51395048,-1.513951365,0.2494324025,-1.763383768,-1.68886864,-0.788073728,0.7135589276,1.4467743e-10,5.473559774,0.9999999942,0.9255832068,-0.08069806571
0.389,0.1936063431,0.3847982068,0.1111821708,0.70836465,1,-1.5105105,-1.51051137,0.2484717471,-1.758983117,-1.684779607,-0.7862211455,0.7120179632,1.774839254e-10,5.475787326,0.9999999921,0.92596517,-0.08041728618
0.388,0.1931012611,0.3838068668,0.1108965477,0.7084449301,1,-1.507068353,-1.507069245,0.2475119026,-1.754581147,-1.680688295,-0.7843670825,0.7104745561,1.42950681e-10,5.478007034,1.000000425,0.9263461445,-0.08014371358
0.387,0.1925962368,0.3828155423,0.1106109252,0.7085249379,1,-1.503612102,-1.503612958,0.2465648577,-1.750177816,-1.676594682,-0.7825115282,0.7089287192,1.314288987e-10,5.480219965,1.00000001,0.9267261303,-0.07985248817
0.386,0.1920912701,0.3818242332,0.1103253035,0.7086046357,1,-1.500165382,-1.500166265,0.2456069291,-1.745773194,-1.672498816,-0.7806545089,0.7073804556,1.136068591e-10,5.482424848,1.000000399,0.9271051275,-0.07957879539
0.385,0.1915863608,0.3808329395,0.1100396825,0.7086840961,1,-1.496715632,-1.496716481,0.2446507462,-1.741367227,-1.668400672,-0.7787960094,0.7058297773,3.026245288e-10,5.484622821,0.999999998,0.9274831361,-0.07931553742
0.384,0.1910815088,0.3798416611,0.1097540621,0.7087632673,1,-1.493255373,-1.493256226,0.2437037568,-1.736959983,-1.664300298,-0.7769360578,0.7042766955,1.00936838e-10,5.486813069,1.000000043,0.9278601562,-0.07904487922
0.383,0.1905767139,0.3788503981,0.1094684424,0.7088421864,1,-1.489789598,-1.489790455,0.2427609975,-1.732551452,-1.660197704,-0.7750746579,0.7027212314,1.424044204e-10,5.488996428,0.9999995947,0.9282361879,-0.07876786529
0.382,0.190071976,0.3778591505,0.1091828233,0.7089208036,1,-1.486314212,-1.48631506,0.2418265693,-1.728141629,-1.656092867,-0.7732117998,0.7011633591,2.708548429e-10,5.49117158,0.9999999738,0.9286112312,-0.07848129414
0.381,0.1895672949,0.3768679181,0.1088972047,0.7089991495,1,-1.482840889,-1.482841731,0.2408887992,-1.72373053,-1.65198583,-0.7713475032,0.6996031226,1.214540162e-10,5.493340059,0.9999995872,0.9289852862,-0.07820856654
0.38,0.1890626704,0.375876701,0.1086115867,0.7090772214,1,-1.479353624,-1.479354463,0.2399637048,-1.719318168,-1.647876585,-0.7694817677,0.6980405037,1.197925464e-10,5.495500468,1.000000009,0.9293583528,-0.07792538941
0.379,0.1885581024,0.3748854991,0.1083259692,0.7091550008,1,-1.475877824,-1.47587866,0.2390258864,-1.714904547,-1.643765156,-0.7676146035,0.6964755304,2.974132925e-10,5.497653902,1.000000003,0.9297304313,-0.07766234971
0.378,0.1880535907,0.3738943125,0.1080403521,0.7092325466,1,-1.472397976,-1.472398803,0.2380908692,-1.710489672,-1.639651546,-0.7657460141,0.6949082053,1.627867635e-10,5.499799982,0.9999999767,0.9301015216,-0.07739809035
0.377,0.1875491351,0.372903141,0.1077547355,0.7093097975,1,-1.468899532,-1.46890036,0.2371732026,-1.706073563,-1.635535775,-0.7638760093,0.693338538,1.936493043e-10,5.501938714,1.000000011,0.9304716237,-0.07711440066
0.376,0.1870447356,0.3719119847,0.1074691194,0.709386776,1,-1.465402994,-1.465403814,0.2362524018,-1.701656216,-1.631417846,-0.7620045908,0.691766536,1.911442992e-10,5.504070192,0.9999999925,0.9308407378,-0.07684341904
0.375,0.1865403919,0.3709208435,0.1071835036,0.7094634849,1,-1.461902435,-1.461903253,0.2353343928,-1.697237646,-1.627297773,-0.7601317677,0.6901922093,2.203311765e-10,5.506194359,1.000000009,0.9312088639,-0.07657147791
0.374,0.1860361039,0.3699297174,0.1068978882,0.7095399195,1,-1.458397049,-1.458397859,0.234419999,-1.692817858,-1.623175566,-0.7582575437,0.6886155651,1.332524235e-10,5.508311249,0.9999999754,0.9315760021,-0.07630209835
0.373,0.1855318714,0.3689386064,0.1066122731,0.7096160896,1,-1.454890503,-1.454891314,0.2335055527,-1.688396867,-1.619051239,-0.7563819282,0.6870366133,1.050642196e-10,5.510420811,0.9999999991,0.9319421523,-0.07603281143
0.372,0.1850276943,0.3679475105,0.1063266584,0.7096919856,1,-1.451376777,-1.451377578,0.2325970932,-1.683974671,-1.614924799,-0.7545049236,0.6854553633,2.144338373e-10,5.512523208,0.999999997,0.9323073148,-0.0757609554
0.371,0.1845235725,0.3669564295,0.1060410439,0.7097676121,1,-1.44785717,-1.447857973,0.2316933169,-1.67955129,-1.610796262,-0.7526265394,0.6838718221,1.151519485e-10,5.514618269,1.000000013,0.9326714894,-0.07548960989
0.37,0.1840195056,0.3659653636,0.1057554297,0.7098429654,1,-1.444338279,-1.444339071,0.2307876471,-1.675126718,-1.606665631,-0.7507467778,0.682286,1.90035253e-10,5.516706218,0.9999999775,0.9330346763,-0.07522146531
0.369,0.1835154937,0.3649743127,0.1054698157,0.7099180556,1,-1.440814167,-1.440814962,0.2298860154,-1.670700977,-1.602532925,-0.7488656486,0.6806979049,2.436651264e-10,5.518786856,1.000000033,0.9333968756,-0.07495470356
0.368,0.1830115365,0.3639832766,0.1051842018,0.7099928753,1,-1.437284309,-1.437285094,0.2289889689,-1.666274063,-1.598398146,-0.7469831535,0.6791075449,1.167967937e-10,5.520860383,0.9999999875,0.9337580872,-0.07468478604
0.367,0.1825076339,0.3629922555,0.1048985882,0.7100674257,1,-1.433749565,-1.433750347,0.2280956462,-1.661845993,-1.594261313,-0.7450993026,0.67751493,1.474364721e-10,5.522926679,0.9999999798,0.9341183112,-0.07441952828
0.366,0.1820037857,0.3620012493,0.1046129747,0.7101417149,1,-1.430209185,-1.430209968,0.2272068057,-1.657416774,-1.590122435,-0.7432141006,0.6759200679,2.504932522e-10,5.524985784,0.999999973,0.9344775477,-0.07414396496
0.365,0.1814999918,0.3610102579,0.1043273613,0.7102157141,1,-1.426670283,-1.426671059,0.2263153425,-1.652986402,-1.585981511,-0.7413275479,0.6743229632,2.085009415e-10,5.527037708,0.999999994,0.9348357968,-0.07387739779
0.364,0.180996252,0.3600192814,0.104041748,0.7102894703,1,-1.423138658,-1.423139411,0.2254154796,-1.64855489,-1.581838564,-0.7394396561,0.6727236344,1.602370811e-10,5.529082806,0.9999996378,0.9351930585,-0.07363686392
0.363,0.1804925662,0.3590283197,0.1037561348,0.7103629884,1,-1.419582304,-1.419583089,0.2245391989,-1.644122288,-1.577693627,-0.7375504442,0.6711220868,2.024828903e-10,5.531120185,0.9999999872,0.9355493328,-0.07336059389
0.362,0.1799889342,0.3580373727,0.1034705216,0.7104361919,1,-1.416029146,-1.416029883,0.223658646,-1.639688529,-1.57354666,-0.7356598902,0.6695183237,1.554380808e-10,5.533151051,0.9999996293,0.9359046199,-0.07309341737
0.361,0.1794853558,0.3570464405,0.1031849084,0.7105091759,1,-1.412465278,-1.412466059,0.2227876489,-1.635253708,-1.569397732,-0.7337680324,0.6679123585,2.755295344e-10,5.535173926,1.000000344,0.9362589197,-0.0728198281
0.36,0.1789818308,0.356055523,0.1028992952,0.7105818321,1,-1.408895248,-1.408896,0.2219217375,-1.630817737,-1.565246786,-0.7318748393,0.6663041896,1.917116501e-10,5.53719026,1.000000355,0.9366122323,-0.07254377322
0.359,0.1784783593,0.3550646202,0.102613682,0.7106542639,1,-1.405334348,-1.405335094,0.2210455807,-1.626380674,-1.561093878,-0.7299803409,0.6646938447,1.574174145e-10,5.539199908,0.9999999383,0.9369645577,-0.07228681681
0.358,0.1779749408,0.354073732,0.1023280687,0.7107264062,1,-1.401779421,-1.401780177,0.2201623542,-1.621942531,-1.556939003,-0.7280845368,0.6630813086,2.273849431e-10,5.541201753,1.000000359,0.9373158961,-0.07204123785
0.357,0.1774715754,0.3530828585,0.1020424553,0.7107983469,1,-1.398216112,-1.398216839,0.2192864474,-1.617503286,-1.552782172,-0.7261874303,0.6614666149,2.036277247e-10,5.543197452,0.9999996216,0.9376662475,-0.07178819899
0.356,0.1769682629,0.3520919996,0.1017568418,0.7108699832,1,-1.394619474,-1.394620223,0.2184427752,-1.613062998,-1.548623414,-0.7242890394,0.659849753,1.21600861e-10,5.545185286,0.9999999759,0.9380156119,-0.07149917879
0.355,0.176465003,0.3511011552,0.1014712282,0.7109413458,1,-1.391038431,-1.391039163,0.21758246,-1.608621623,-1.544462707,-0.7223893521,0.6582307332,1.260378e-10,5.547166283,0.9999999991,0.9383639894,-0.07123861257
0.354,0.1759617957,0.3501103254,0.1011856144,0.711012461,1,-1.387462334,-1.387463062,0.2167161312,-1.604179193,-1.540300084,-0.7204883859,0.6566095725,3.147385834e-10,5.549140345,1.000000004,0.93871138,-0.07098319265
0.353,0.1754586408,0.3491195101,0.1009000004,0.7110833127,1,-1.383875047,-1.383875773,0.2158599438,-1.599735717,-1.536135552,-0.7185861451,0.6549862757,1.974066242e-10,5.551107359,1.000000003,0.9390577838,-0.07072268973
0.352,0.1749555381,0.3481287093,0.1006143862,0.7111539069,1,-1.380283623,-1.380284346,0.2150068512,-1.595291197,-1.53196912,-0.7166826343,0.6533608507,1.954633268e-10,5.55306737,1.000000031,0.9394032009,-0.07046546628
0.351,0.1744524875,0.3471379229,0.1003287718,0.7112242441,1,-1.3766904,-1.37669112,0.214154519,-1.590845639,-1.527800794,-0.7147778579,0.6517333064,1.405345576e-10,5.555020462,1.000000027,0.9397476312,-0.0702057386
