k_hip,q,alpha_h,s,v,lam_max,N_half,lam1_im
-0.300,0.010,0.00489693222,0.009793825298,0.00305258735,0.9993573615,1078.2492,0.0000000000
-0.300,0.011,0.00538663055,0.010773209,0.003357846061,0.9992222905,890.9208,0.0000000000
-0.300,0.012,0.005876330455,0.01175259327,0.003663104835,0.9990743077,748.4413,0.0000000000
-0.300,0.013,0.00636603207,0.01273197814,0.003968363676,0.9989133987,637.5572,0.0000000000
-0.300,0.014,0.006855735534,0.01371136366,0.004273622586,0.9987395489,549.5733,0.0000000000
-0.300,0.015,0.007345440986,0.01469074986,0.004578881568,0.9985527444,478.5923,0.0000000000
-0.300,0.016,0.007835148564,0.0156701368,0.004884140626,0.9983529679,420.4995,0.0000000000
-0.300,0.017,0.008324858411,0.01664952451,0.005189399764,0.9981401999,372.3532,0.0000000000
-0.300,0.018,0.008814570665,0.01762891304,0.005494658987,0.9979144227,332.0060,0.0000000000
-0.300,0.019,0.009304285467,0.01860830245,0.005799918297,0.9976756153,297.8600,0.0000000000
-0.300,0.020,0.009794002958,0.01958769276,0.006105177701,0.9974237562,268.7067,0.0000000000
-0.300,0.021,0.01028372328,0.02056708404,0.006410437202,0.9971588209,243.6179,0.0000000000
-0.300,0.022,0.01077344657,0.02154647633,0.006715696806,0.9968807869,221.8719,0.0000000000
-0.300,0.023,0.01126317298,0.02252586968,0.007020956516,0.9965896283,202.9000,0.0000000000
-0.300,0.024,0.01175290263,0.02350526413,0.007326216338,0.9962853177,186.2498,0.0000000000
-0.300,0.025,0.01224263437,0.0244846571,0.007631475458,0.9959678273,171.5573,0.0000000000
-0.300,0.026,0.01273237097,0.02546405392,0.007936735525,0.9956371260,158.5272,0.0000000000
-0.300,0.027,0.01322211125,0.02644345199,0.008241995717,0.9952931836,146.9177,0.0000000000
-0.300,0.028,0.01371185534,0.02742285135,0.00854725604,0.9949359689,136.5297,0.0000000000
-0.300,0.029,0.01420160339,0.02840225205,0.008852516498,0.9945654443,127.1975,0.0000000000
-0.300,0.030,0.01469135555,0.02938165413,0.009157777096,0.9941815775,118.7828,0.0000000000
-0.300,0.031,0.01518111194,0.03036105765,0.00946303784,0.9937843318,111.1692,0.0000000000
-0.300,0.032,0.01567087272,0.03134046265,0.009768298734,0.9933736671,104.2580,0.0000000000
-0.300,0.033,0.01616063802,0.03231986918,0.01007355978,0.9929495447,97.9654,0.0000000000
-0.300,0.034,0.01665040798,0.03329927729,0.01037882099,0.9925119224,92.2198,0.0000000000
-0.300,0.035,0.01714018276,0.03427868703,0.01068408237,0.9920607578,86.9594,0.0000000000
-0.300,0.036,0.01762996248,0.03525809843,0.01098934391,0.9915960066,82.1312,0.0000000000
-0.300,0.037,0.01811974729,0.03623751156,0.01129460563,0.9911176215,77.6891,0.0000000000
-0.300,0.038,0.01860953734,0.03721692646,0.01159986753,0.9906255537,73.5929,0.0000000000
-0.300,0.039,0.01909933276,0.03819634317,0.01190512962,0.9901197549,69.8077,0.0000000000
-0.300,0.040,0.01958913369,0.03917576175,0.0122103919,0.9896001716,66.3027,0.0000000000
-0.300,0.041,0.02007894028,0.04015518224,0.01251565437,0.9890667520,63.0509,0.0000000000
-0.300,0.042,0.02056875266,0.04113460468,0.01282091705,0.9885194402,60.0285,0.0000000000
-0.300,0.043,0.02105857098,0.04211402914,0.01312617993,0.9879581796,57.2144,0.0000000000
-0.300,0.044,0.02154839539,0.04309345564,0.01343144302,0.9873829106,54.5899,0.0000000000
-0.300,0.045,0.02203822602,0.04407288425,0.01373670633,0.9867935697,52.1382,0.0000000000
-0.300,0.046,0.02252806301,0.04505231501,0.01404196986,0.9861900986,49.8447,0.0000000000
-0.300,0.047,0.0230179065,0.04603174797,0.01434723362,0.9855724252,47.6958,0.0000000000
-0.300,0.048,0.02350775665,0.04701118317,0.01465249762,0.9849404901,45.6798,0.0000000000
-0.300,0.049,0.02399761358,0.04799062066,0.01495776185,0.9842942168,43.7858,0.0000000000
-0.300,0.050,0.02448747744,0.04897006049,0.01526302632,0.9836335377,42.0042,0.0000000000
-0.300,0.051,0.02497734837,0.04994950271,0.01556829105,0.9829583721,40.3262,0.0000000000
-0.300,0.052,0.02546722651,0.05092894736,0.01587355603,0.9822686509,38.7440,0.0000000000
-0.300,0.053,0.02595711201,0.0519083945,0.01617882127,0.9815642860,37.2504,0.0000000000
-0.300,0.054,0.02644700501,0.05288784416,0.01648408677,0.9808452049,35.8389,0.0000000000
-0.300,0.055,0.02693690564,0.0538672964,0.01678935254,0.9801113158,34.5036,0.0000000000
-0.300,0.056,0.02742681405,0.05484675127,0.0170946186,0.9793625326,33.2391,0.0000000000
-0.300,0.057,0.02791673038,0.0558262088,0.01739988493,0.9785987680,32.0404,0.0000000000
-0.300,0.058,0.02840665478,0.05680566906,0.01770515155,0.9778199253,30.9030,0.0000000000
-0.300,0.059,0.02889658715,0.05778513163,0.01801041833,0.9770259091,29.8229,0.0000000000
-0.300,0.060,0.0293865281,0.05876459747,0.01831568554,0.9762166201,28.7962,0.0000000000
-0.300,0.061,0.02987647753,0.05974406617,0.01862095306,0.9753919576,27.8195,0.0000000000
-0.300,0.062,0.03036643559,0.06072353778,0.01892622089,0.9745518136,26.8895,0.0000000000
-0.300,0.063,0.03085640242,0.06170301234,0.01923148904,0.9736960767,26.0034,0.0000000000
-0.300,0.064,0.03134637817,0.06268248991,0.01953675751,0.9728246382,25.1583,0.0000000000
-0.300,0.065,0.03183636297,0.06366197052,0.0198420263,0.9719373808,24.3518,0.0000000000
-0.300,0.066,0.03232635696,0.06464145424,0.02014729544,0.9710341755,23.5816,0.0000000000
-0.300,0.067,0.0328163603,0.0656209411,0.02045256491,0.9701149137,22.8454,0.0000000000
-0.300,0.068,0.03330637311,0.06660043116,0.02075783472,0.9691794550,22.1414,0.0000000000
-0.300,0.069,0.03379639554,0.06757992445,0.02106310489,0.9682276653,21.4676,0.0000000000
-0.300,0.070,0.03428642774,0.06855942103,0.02136837542,0.9672594117,20.8224,0.0000000000
-0.300,0.071,0.03477646984,0.06953892094,0.02167364631,0.9662745521,20.2041,0.0000000000
-0.300,0.072,0.03526652199,0.07051842424,0.02197891757,0.9652729404,19.6112,0.0000000000
-0.300,0.073,0.03575658432,0.07149793096,0.0222841892,0.9642544207,19.0425,0.0000000000
-0.300,0.074,0.03624665699,0.07247744116,0.02258946122,0.9632188383,18.4964,0.0000000000
-0.300,0.075,0.03673674013,0.07345695488,0.02289473363,0.9621660272,17.9720,0.0000000000
-0.300,0.076,0.03722683388,0.07443647217,0.02320000643,0.9610958214,17.4679,0.0000000000
-0.300,0.077,0.03771693839,0.07541599308,0.02350527963,0.9600080488,16.9832,0.0000000000
-0.300,0.078,0.03820705379,0.07639551766,0.02381055324,0.9589025240,16.5169,0.0000000000
-0.300,0.079,0.03869718024,0.07737504594,0.02411582727,0.9577790637,16.0681,0.0000000000
-0.300,0.080,0.03918731786,0.07835457798,0.02442110171,0.9566374728,15.6358,0.0000000000
-0.300,0.081,0.03967746681,0.07933411383,0.02472637658,0.9554775518,15.2193,0.0000000000
-0.300,0.082,0.04016762722,0.08031365353,0.02503165189,0.9542990854,14.8178,0.0000000000
-0.300,0.083,0.04065779924,0.08129319712,0.02533692763,0.9531018648,14.4305,0.0000000000
-0.300,0.084,0.04114798301,0.08227274467,0.02564220382,0.9518856662,14.0568,0.0000000000
-0.300,0.085,0.04163817867,0.0832522962,0.02594748047,0.9506502541,13.6961,0.0000000000
-0.300,0.086,0.04212838637,0.08423185178,0.02625275757,0.9493953840,13.3477,0.0000000000
-0.300,0.087,0.04261860623,0.08521141144,0.02655803514,0.9481208075,13.0111,0.0000000000
-0.300,0.088,0.04310883842,0.08619097523,0.02686331318,0.9468262608,12.6858,0.0000000000
-0.300,0.089,0.04359908306,0.08717054321,0.02716859171,0.9455114808,12.3712,0.0000000000
-0.300,0.090,0.04408934031,0.08815011541,0.02747387072,0.9441761744,12.0668,0.0000000000
-0.300,0.091,0.04457961029,0.08912969188,0.02777915022,0.9428200495,11.7722,0.0000000000
-0.300,0.092,0.04506989317,0.09010927268,0.02808443023,0.9414428039,11.4870,0.0000000000
-0.300,0.093,0.04556018907,0.09108885784,0.02838971074,0.9400441173,11.2108,0.0000000000
-0.300,0.094,0.04605049814,0.09206844742,0.02869499177,0.9386236610,10.9432,0.0000000000
-0.300,0.095,0.04654082052,0.09304804146,0.02900027332,0.9371810719,10.6837,0.0000000000
-0.300,0.096,0.04703115635,0.09402764,0.0293055554,0.9357160014,10.4322,0.0000000000
-0.300,0.097,0.04752150578,0.0950072431,0.02961083801,0.9342280675,10.1881,0.0000000000
-0.300,0.098,0.04801186895,0.09598685079,0.02991612117,0.9327168798,9.9514,0.0000000000
-0.300,0.099,0.048502246,0.09696646314,0.03022140488,0.9311820115,9.7215,0.0000000000
-0.300,0.100,0.04899263706,0.09794608018,0.03052668915,0.9296230385,9.4983,0.0000000000
-0.300,0.101,0.0494830423,0.09892570195,0.03083197399,0.9280395010,9.2814,0.0000000000
-0.300,0.102,0.04997346184,0.09990532852,0.03113725939,0.9264309256,9.0707,0.0000000000
-0.300,0.103,0.05046389583,0.1008849599,0.03144254538,0.9247968189,8.8659,0.0000000000
-0.300,0.104,0.05095434441,0.1018645962,0.03174783196,0.9231366457,8.6667,0.0000000000
-0.300,0.105,0.05144480773,0.1028442374,0.03205311914,0.9214498576,8.4730,0.0000000000
-0.300,0.106,0.05193528592,0.1038238836,0.03235840692,0.9197358762,8.2844,0.0000000000
-0.300,0.107,0.05242577912,0.1048035348,0.03266369531,0.9179940928,8.1009,0.0000000000
-0.300,0.108,0.05291628749,0.105783191,0.03296898432,0.9162238500,7.9222,0.0000000000
-0.300,0.109,0.05340681117,0.1067628524,0.03327427395,0.9144244821,7.7481,0.0000000000
-0.300,0.110,0.05389735028,0.1077425189,0.03357956423,0.9125952636,7.5785,0.0000000000
-0.300,0.111,0.05438790499,0.1087221906,0.03388485514,0.9107354338,7.4131,0.0000000000
-0.300,0.112,0.05487847542,0.1097018676,0.03419014671,0.9088441895,7.2519,0.0000000000
-0.300,0.113,0.05536906173,0.1106815499,0.03449543894,0.9069206801,7.0946,0.0000000000
-0.300,0.114,0.05585966405,0.1116612375,0.03480073184,0.9049639857,6.9412,0.0000000000
-0.300,0.115,0.05635028253,0.1126409305,0.03510602541,0.9029731621,6.7914,0.0000000000
-0.300,0.116,0.05684091731,0.1136206289,0.03541131967,0.9009471583,6.6452,0.0000000000
-0.300,0.117,0.05733156853,0.1146003328,0.03571661462,0.8988848903,6.5023,0.0000000000
-0.300,0.118,0.05782223634,0.1155800423,0.03602191027,0.8967851992,6.3627,0.0000000000
