gait,s,n,dev_signed,envelope
plateau,0.402,0,1.0000000000e+00,1.0000000000e+00
plateau,0.402,1,4.3443971215e-01,7.0729547654e-01
plateau,0.402,2,-1.1914238918e-01,5.0026689114e-01
plateau,0.402,3,-3.1817485711e-01,3.5383650916e-01
plateau,0.402,4,-2.2045075361e-01,2.5026696237e-01
plateau,0.402,5,-3.5651655244e-02,1.7701269041e-01
plateau,0.402,6,7.9180590957e-02,1.2520027522e-01
plateau,0.402,7,8.7774255453e-02,8.8553588324e-02
plateau,0.402,8,3.7627970184e-02,6.2633552453e-02
plateau,0.402,9,-1.0778278284e-02,4.4300428330e-02
plateau,0.402,10,-2.8285232671e-02,3.1333492566e-02
plateau,0.402,11,-1.9519350413e-02,2.2162037557e-02
plateau,0.402,12,-3.0470222742e-03,1.5675108915e-02
plateau,0.402,13,7.0835480409e-03,1.1086933630e-02
plateau,0.402,14,7.7648282368e-03,7.8417380050e-03
plateau,0.402,15,3.2947958760e-03,5.5464258192e-03
plateau,0.402,16,-9.8260205502e-04,3.9229618929e-03
plateau,0.402,17,-2.5134713213e-03,2.7746932015e-03
plateau,0.402,18,-1.7222131525e-03,1.9625279502e-03
plateau,0.402,19,-2.5950449747e-04,1.3880871418e-03
plateau,0.402,20,6.3302156072e-04,9.8178775641e-04
plateau,0.402,21,6.8737814339e-04,6.9441403903e-04
plateau,0.402,22,2.8873611826e-04,4.9115590866e-04
plateau,0.402,23,-8.9563910659e-05,3.4739235247e-04
plateau,0.402,24,-2.2332862663e-04,2.4570903949e-04
plateau,0.402,25,-1.5189523968e-04,1.7378889217e-04
plateau,0.402,26,-2.2061311149e-05,1.2292009731e-04
plateau,0.402,27,5.6556965538e-05,8.6940828802e-05
plateau,0.402,28,6.0849754319e-05,6.1492854939e-05
low speed,0.080,0,1.0000000000e+00,1.0000000000e+00
low speed,0.080,1,9.4384344469e-01,9.4388956510e-01
low speed,0.080,2,8.9075021686e-01,8.9092751110e-01
low speed,0.080,3,8.4060628954e-01,8.4093718098e-01
low speed,0.080,4,7.9326935975e-01,7.9375183003e-01
low speed,0.080,5,7.4859363734e-01,7.4921406964e-01
low speed,0.080,6,7.0643530213e-01,7.0717534236e-01
low speed,0.080,7,6.6665528299e-01,6.6749542634e-01
low speed,0.080,8,6.2912057384e-01,6.3004196768e-01
low speed,0.080,9,5.9370475615e-01,5.9469003886e-01
low speed,0.080,10,5.6028809614e-01,5.6132172215e-01
low speed,0.080,11,5.2875741904e-01,5.2982571620e-01
low speed,0.080,12,4.9900587141e-01,5.0009696484e-01
low speed,0.080,13,4.7093263184e-01,4.7203630665e-01
low speed,0.080,14,4.4444260287e-01,4.4555014419e-01
low speed,0.080,15,4.1944610134e-01,4.2055013183e-01
low speed,0.080,16,3.9585855652e-01,3.9695288103e-01
low speed,0.080,17,3.7360022012e-01,3.7467968224e-01
low speed,0.080,18,3.5259589045e-01,3.5365624232e-01
low speed,0.080,19,3.3277465112e-01,3.3381243676e-01
low speed,0.080,20,3.1406962439e-01,3.1508207576e-01
low speed,0.080,21,2.9641773853e-01,2.9740268345e-01
low speed,0.080,22,2.7975950870e-01,2.8071528954e-01
low speed,0.080,23,2.6403883057e-01,2.6496423256e-01
low speed,0.080,24,2.4920278606e-01,2.5009697424e-01
low speed,0.080,25,2.3520146041e-01,2.3606392425e-01
low speed,0.080,26,2.2198776994e-01,2.2281827479e-01
low speed,0.080,27,2.0951729989e-01,2.1031584449e-01
low speed,0.080,28,1.9774815173e-01,1.9851493099e-01
low speed,0.080,29,1.8664079930e-01,1.8737617188e-01
low speed,0.080,30,1.7615795341e-01,1.7686241338e-01
low speed,0.080,31,1.6626443416e-01,1.6693858645e-01
low speed,0.080,32,1.5692705076e-01,1.5757158976e-01
low speed,0.080,33,1.4811448829e-01,1.4873017933e-01
low speed,0.080,34,1.3979720091e-01,1.4038486428e-01
low speed,0.080,35,1.3194731132e-01,1.3250780850e-01
low speed,0.080,36,1.2453851596e-01,1.2507273773e-01
low speed,0.080,37,1.1754599566e-01,1.1805485202e-01
low speed,0.080,38,1.1094633142e-01,1.1143074293e-01
low speed,0.080,39,1.0471742502e-01,1.0517831549e-01
low speed,0.080,40,9.8838424196e-02,9.9276714463e-02
