c,q,alpha_h,s,v,lam_max,N_half
0.80,0.010,0.004333009937,0.008665992757,0.002508562701,0.9993672993,1095.1907
0.80,0.011,0.004766315116,0.009532594139,0.00275941891,0.9992343328,904.9386
0.80,0.012,0.005199614569,0.01039918228,0.003010271094,0.9990886624,760.2356
0.80,0.013,0.005632923534,0.01126578749,0.003261128011,0.9989302691,647.6174
0.80,0.014,0.006066234423,0.01213239443,0.003511985203,0.9987591441,558.2574
0.80,0.015,0.006499547379,0.01299900324,0.003762842689,0.9985752743,486.1661
0.80,0.016,0.00693286255,0.01386561402,0.004013700489,0.9983786432,427.1639
0.80,0.017,0.007366180079,0.01473222693,0.004264558623,0.9981692364,378.2643
0.80,0.018,0.007799500115,0.01559884208,0.004515417111,0.9979470354,337.2856
0.80,0.019,0.008232822803,0.0164654596,0.004766275973,0.9977120229,302.6053
0.80,0.020,0.008666148291,0.01733207963,0.00501713523,0.9974641801,272.9957
0.80,0.021,0.009099476724,0.0181987023,0.005267994902,0.9972034849,247.5143
0.80,0.022,0.009532808249,0.01906532774,0.00551885501,0.9969299171,225.4280
0.80,0.023,0.009966143015,0.01993195607,0.005769715575,0.9966434534,206.1593
0.80,0.024,0.01039948117,0.02079858744,0.006020576616,0.9963440706,189.2486
0.80,0.025,0.01083282285,0.02166522196,0.006271438155,0.9960317415,174.3261
0.80,0.026,0.01126616822,0.02253185978,0.006522300212,0.9957064412,161.0920
0.80,0.027,0.01169951741,0.02339850102,0.006773162808,0.9953681434,149.3010
0.80,0.028,0.01213287058,0.02426514582,0.007024025964,0.9950168175,138.7504
0.80,0.029,0.01256622787,0.02513179431,0.007274889701,0.9946524355,129.2723
0.80,0.030,0.01299958943,0.02599844661,0.007525754038,0.9942749636,120.7261
0.80,0.031,0.0134329543,0.02686510065,0.007776618357,0.9938843720,112.9934
0.80,0.032,0.01386632485,0.027731761,0.008027483963,0.9934806244,105.9741
0.80,0.033,0.01429970011,0.02859842555,0.008278350233,0.9930636855,99.5832
0.80,0.034,0.01473308023,0.02946509446,0.008529217187,0.9926335211,93.7478
0.80,0.035,0.01516646535,0.03033176784,0.008780084845,0.9921900903,88.4052
0.80,0.036,0.01559985562,0.03119844582,0.00903095323,0.9917333557,83.5016
0.80,0.037,0.01603325119,0.03206512854,0.009281822361,0.9912632762,78.9901
0.80,0.038,0.01646665221,0.03293181613,0.00953269226,0.9907798089,74.8300
0.80,0.039,0.01690005883,0.03379850873,0.009783562947,0.9902829122,70.9857
0.80,0.040,0.01733347119,0.03466520646,0.01003443444,0.9897725365,67.4260
0.80,0.041,0.01776688943,0.03553190945,0.01028530677,0.9892486419,64.1235
0.80,0.042,0.01820031371,0.03639861784,0.01053617995,0.9887111711,61.0539
0.80,0.043,0.01863374418,0.03726533175,0.010787054,0.9881600809,58.1960
0.80,0.044,0.01906718098,0.03813205133,0.01103792894,0.9875953152,55.5306
0.80,0.045,0.01950062426,0.0389987767,0.0112888048,0.9870168250,53.0408
0.80,0.046,0.01993407416,0.03986550799,0.01153968159,0.9864245509,50.7115
0.80,0.047,0.02036753084,0.04073224533,0.01179055934,0.9858184387,48.5292
0.80,0.048,0.02080099443,0.04159898886,0.01204143807,0.9851984267,46.4819
0.80,0.049,0.0212344651,0.04246573871,0.01229231779,0.9845644569,44.5584
0.80,0.050,0.02166794298,0.04333249501,0.01254319853,0.9839164674,42.7492
0.80,0.051,0.02210142823,0.04419925789,0.01279408032,0.9832543898,41.0452
0.80,0.052,0.02253492099,0.04506602749,0.01304496316,0.9825781601,39.4385
0.80,0.053,0.0229684214,0.04593280392,0.01329584709,0.9818877076,37.9218
0.80,0.054,0.02340192962,0.04679958734,0.01354673212,0.9811829663,36.4885
0.80,0.055,0.0238354458,0.04766637786,0.01379761828,0.9804638557,35.1325
0.80,0.056,0.02426897008,0.04853317563,0.01404850558,0.9797303040,33.8485
0.80,0.057,0.0247025026,0.04939998076,0.01429939405,0.9789822333,32.6313
0.80,0.058,0.02513604353,0.0502667934,0.0145502837,0.9782195662,31.4765
0.80,0.059,0.02556959299,0.05113361367,0.01480117457,0.9774422173,30.3797
0.80,0.060,0.02600315115,0.05200044171,0.01505206666,0.9766501019,29.3373
0.80,0.061,0.02643671815,0.05286727765,0.01530296001,0.9758431314,28.3456
0.80,0.062,0.02687029414,0.05373412161,0.01555385463,0.9750212174,27.4014
0.80,0.063,0.02730387926,0.05460097374,0.01580475055,0.9741842635,26.5017
0.80,0.064,0.02773747366,0.05546783417,0.01605564778,0.9733321734,25.6438
0.80,0.065,0.0281710775,0.05633470301,0.01630654635,0.9724648535,24.8250
0.80,0.066,0.02860469091,0.05720158042,0.01655744628,0.9715821936,24.0431
0.80,0.067,0.02903831405,0.05806846651,0.01680834758,0.9706840950,23.2958
0.80,0.068,0.02947194706,0.05893536143,0.01705925029,0.9697704444,22.5811
