alpha,v,lam_max,lam1_re,lam1_im,lam2_re,lam2_im,lam3_re,lam3_im
0.020000,0.011578,0.986662,9.866617e-01,0.000000e+00,5.290152e-01,0.000000e+00,-1.063248e-11,0.000000e+00
0.022051,0.012765,0.983734,9.837337e-01,0.000000e+00,5.305469e-01,0.000000e+00,-1.133053e-11,0.000000e+00
0.024103,0.013952,0.980497,9.804973e-01,0.000000e+00,5.322508e-01,0.000000e+00,-1.211802e-11,0.000000e+00
0.026154,0.015139,0.976946,9.769456e-01,0.000000e+00,5.341341e-01,0.000000e+00,-1.239544e-11,0.000000e+00
0.028205,0.016326,0.973070,9.730701e-01,0.000000e+00,5.362052e-01,0.000000e+00,-1.355041e-11,0.000000e+00
0.030256,0.017513,0.968861,9.688613e-01,0.000000e+00,5.384738e-01,0.000000e+00,-1.251116e-11,0.000000e+00
0.032308,0.018700,0.964308,9.643082e-01,0.000000e+00,5.409509e-01,0.000000e+00,-1.191485e-11,0.000000e+00
0.034359,0.019887,0.959398,9.593978e-01,0.000000e+00,5.436496e-01,0.000000e+00,-1.306412e-11,0.000000e+00
0.036410,0.021073,0.954115,9.541154e-01,0.000000e+00,5.465847e-01,0.000000e+00,-1.467249e-11,0.000000e+00
0.038462,0.022260,0.948443,9.484434e-01,0.000000e+00,5.497738e-01,0.000000e+00,-1.281180e-11,0.000000e+00
0.040513,0.023446,0.942362,9.423616e-01,0.000000e+00,5.532373e-01,0.000000e+00,-1.403296e-11,0.000000e+00
0.042564,0.024632,0.935846,9.358457e-01,0.000000e+00,5.569995e-01,0.000000e+00,-1.197959e-11,0.000000e+00
0.044615,0.025818,0.928867,9.288667e-01,0.000000e+00,5.610896e-01,0.000000e+00,-1.519265e-11,0.000000e+00
0.046667,0.027004,0.921390,9.213898e-01,0.000000e+00,5.655424e-01,0.000000e+00,-1.855526e-11,0.000000e+00
0.048718,0.028190,0.913372,9.133721e-01,0.000000e+00,5.704009e-01,0.000000e+00,-1.565737e-11,0.000000e+00
0.050769,0.029375,0.904760,9.047605e-01,0.000000e+00,5.757186e-01,0.000000e+00,-1.738150e-11,0.000000e+00
0.052821,0.030561,0.895487,8.954873e-01,0.000000e+00,5.815629e-01,0.000000e+00,-1.907448e-11,0.000000e+00
0.054872,0.031746,0.885465,8.854647e-01,0.000000e+00,5.880220e-01,0.000000e+00,-2.117248e-11,0.000000e+00
0.056923,0.032931,0.874575,8.745752e-01,0.000000e+00,5.952135e-01,0.000000e+00,-1.879725e-11,0.000000e+00
0.058974,0.034116,0.862655,8.626550e-01,0.000000e+00,6.033013e-01,0.000000e+00,-1.770719e-11,0.000000e+00
0.061026,0.035301,0.849464,8.494640e-01,0.000000e+00,6.125256e-01,0.000000e+00,-1.875111e-11,0.000000e+00
0.063077,0.036485,0.834625,8.346245e-01,0.000000e+00,6.232644e-01,0.000000e+00,-2.189541e-11,0.000000e+00
0.065128,0.037670,0.817475,8.174749e-01,0.000000e+00,6.361794e-01,0.000000e+00,-1.973698e-11,0.000000e+00
0.067179,0.038854,0.796630,7.966300e-01,0.000000e+00,6.526558e-01,0.000000e+00,-2.320047e-11,0.000000e+00
0.069231,0.040038,0.767831,7.678307e-01,0.000000e+00,6.769531e-01,0.000000e+00,-2.148501e-11,0.000000e+00
0.071282,0.041221,0.720861,7.200741e-01,3.367963e-02,7.200741e-01,-3.367963e-02,-2.116191e-11,0.000000e+00
0.073333,0.042405,0.720758,7.176898e-01,6.643636e-02,7.176898e-01,-6.643636e-02,-2.663980e-11,0.000000e+00
0.075385,0.043588,0.720652,7.152389e-01,8.816250e-02,7.152389e-01,-8.816250e-02,-2.467726e-11,0.000000e+00
0.077436,0.044771,0.720543,7.127216e-01,1.058758e-01,7.127216e-01,-1.058758e-01,-2.033581e-11,0.000000e+00
0.079487,0.045953,0.720430,7.101379e-01,1.213418e-01,7.101379e-01,-1.213418e-01,-2.836513e-11,0.000000e+00
0.081538,0.047136,0.720315,7.074881e-01,1.353286e-01,7.074881e-01,-1.353286e-01,-2.682210e-11,0.000000e+00
0.083590,0.048318,0.720196,7.047721e-01,1.482514e-01,7.047721e-01,-1.482514e-01,-2.801600e-11,0.000000e+00
0.085641,0.049500,0.720074,7.019901e-01,1.603638e-01,7.019901e-01,-1.603638e-01,-2.869690e-11,0.000000e+00
0.087692,0.050681,0.719949,6.991422e-01,1.718334e-01,6.991422e-01,-1.718334e-01,-3.058692e-11,0.000000e+00
0.089744,0.051863,0.719821,6.962285e-01,1.827777e-01,6.962285e-01,-1.827777e-01,-2.831735e-11,0.000000e+00
0.091795,0.053044,0.719689,6.932492e-01,1.932825e-01,6.932492e-01,-1.932825e-01,-3.135390e-11,0.000000e+00
0.093846,0.054225,0.719554,6.902043e-01,2.034126e-01,6.902043e-01,-2.034126e-01,-3.143931e-11,0.000000e+00
0.095897,0.055405,0.719417,6.870940e-01,2.132181e-01,6.870940e-01,-2.132181e-01,-3.606202e-11,0.000000e+00
0.097949,0.056585,0.719275,6.839184e-01,2.227387e-01,6.839184e-01,-2.227387e-01,-3.678903e-11,0.000000e+00
0.100000,0.057765,0.719131,6.806777e-01,2.320063e-01,6.806777e-01,-2.320063e-01,-3.143562e-11,0.000000e+00
0.107955,0.062337,0.718539,6.674973e-01,2.659808e-01,6.674973e-01,-2.659808e-01,-3.522971e-11,0.000000e+00
0.115909,0.066904,0.717897,6.533480e-01,2.975098e-01,6.533480e-01,-2.975098e-01,-4.184121e-11,0.000000e+00
0.123864,0.071466,0.717203,6.382394e-01,3.271545e-01,6.382394e-01,-3.271545e-01,-5.152648e-11,0.000000e+00
0.131818,0.076022,0.716456,6.221819e-01,3.552438e-01,6.221819e-01,-3.552438e-01,-5.017891e-11,0.000000e+00
0.139773,0.080572,0.715654,6.051870e-01,3.819812e-01,6.051870e-01,-3.819812e-01,-6.330783e-11,0.000000e+00
0.147727,0.085116,0.714797,5.872671e-01,4.074953e-01,5.872671e-01,-4.074953e-01,-6.242089e-11,0.000000e+00
0.155682,0.089653,0.713883,5.684360e-01,4.318682e-01,5.684360e-01,-4.318682e-01,-7.000967e-11,0.000000e+00
0.163636,0.094183,0.712911,5.487085e-01,4.551501e-01,5.487085e-01,-4.551501e-01,-7.128857e-11,0.000000e+00
0.171591,0.098706,0.711880,5.281007e-01,4.773700e-01,5.281007e-01,-4.773700e-01,-7.892294e-11,0.000000e+00
0.179545,0.103222,0.710787,5.066302e-01,4.985412e-01,5.066302e-01,-4.985412e-01,-8.371552e-11,0.000000e+00
0.187500,0.107730,0.709631,4.843157e-01,5.186657e-01,4.843157e-01,-5.186657e-01,-8.521444e-11,0.000000e+00
0.195455,0.112231,0.708411,4.611778e-01,5.377369e-01,4.611778e-01,-5.377369e-01,-9.160261e-11,0.000000e+00
